flow,origin,destination,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
38364,12,166,191,240,0,0,0,95,4068,4653,4259,4988
1513,12,147,191,1360,0,0,0,369,4068,24111,4259,25840
1824,12,116,191,1328,0,0,0,12,4068,26003,4259,27343
12721,12,85,191,1465,0,0,0,28,4068,59905,4259,61398
4258,12,191,191,549,0,0,0,149,4068,4630,4259,5328
481,12,130,191,5468,0,0,0,67,4068,30764,4259,36299
30,12,77,191,418,0,0,0,4,4068,6648,4259,7070
11,12,71,191,83,0,0,0,0,4068,1014,4259,1097
15100,12,189,191,60,0,0,0,63,4068,42,4259,165
167,12,170,191,708,0,0,0,97,4068,7484,4259,8289
3434,12,86,191,678,0,0,0,22,4068,10547,4259,11247
124,12,142,191,893,0,0,0,0,4068,8380,4259,9273
57,12,152,191,552,0,0,0,51,4068,2622,4259,3225
171,12,129,191,95,0,0,0,5,4068,1281,4259,1381
18,12,119,191,87,0,0,0,53,4068,2257,4259,2397
58,12,95,191,1313,0,0,0,236,4068,13562,4259,15111
40,12,108,191,110,0,0,0,83,4068,362,4259,555
282,12,109,191,1704,0,0,0,0,4068,12545,4259,14249
4,12,182,191,54,0,0,0,71,4068,118,4259,243
7,12,74,191,50,0,0,0,70,4068,23,4259,143
11,12,36,191,192,0,0,0,0,4068,952,4259,1144
2,12,137,191,12,0,0,0,4,4068,53,4259,69
8,12,138,191,1234,0,0,0,20,4068,7139,4259,8393
1253,12,11,191,6,0,0,0,0,4068,76,4259,82
96,147,195,1360,429,0,0,369,170,24111,1599,25840,2198
1384,147,170,1360,708,0,0,369,97,24111,7484,25840,8289
1744,147,12,1360,191,0,0,369,0,24111,4068,25840,4259
2004,147,116,1360,1328,0,0,369,12,24111,26003,25840,27343
72160,147,166,1360,240,0,0,369,95,24111,4653,25840,4988
8159,147,85,1360,1465,0,0,369,28,24111,59905,25840,61398
1,147,191,1360,549,0,0,369,149,24111,4630,25840,5328
962,147,130,1360,5468,0,0,369,67,24111,30764,25840,36299
152,147,77,1360,418,0,0,369,4,24111,6648,25840,7070
160,147,71,1360,83,0,0,369,0,24111,1014,25840,1097
16692,147,189,1360,60,0,0,369,63,24111,42,25840,165
1480,147,86,1360,678,0,0,369,22,24111,10547,25840,11247
1048,147,152,1360,552,0,0,369,51,24111,2622,25840,3225
495,147,129,1360,95,0,0,369,5,24111,1281,25840,1381
135,147,119,1360,87,0,0,369,53,24111,2257,25840,2397
27,147,186,1360,392,0,0,369,30,24111,2755,25840,3177
177,147,95,1360,1313,0,0,369,236,24111,13562,25840,15111
277,147,108,1360,110,0,0,369,83,24111,362,25840,555
321,147,109,1360,1704,0,0,369,0,24111,12545,25840,14249
87,147,182,1360,54,0,0,369,71,24111,118,25840,243
108,147,74,1360,50,0,0,369,70,24111,23,25840,143
47,147,137,1360,12,0,0,369,4,24111,53,25840,69
