flow,origin,destination,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
40431,12,166,320,300,0,0,0,130,5108,5888,5428,6318
1600,12,147,320,1720,0,0,0,462,5108,30831,5428,33013
1570,12,116,320,1730,0,0,0,15,5108,36217,5428,37962
20719,12,85,320,2510,0,0,0,35,5108,83916,5428,86461
5074,12,191,320,710,0,0,0,186,5108,5872,5428,6768
325,12,130,320,6915,0,0,0,90,5108,38740,5428,45745
62,12,77,320,650,0,0,0,0,5108,9305,5428,9955
1,12,71,320,140,0,0,0,0,5108,1275,5428,1415
15569,12,189,320,75,0,0,0,94,5108,66,5428,235
113,12,170,320,895,0,0,0,125,5108,9379,5428,10399
3565,12,86,320,920,0,0,0,25,5108,13618,5428,14563
81,12,142,320,1125,0,0,0,0,5108,10534,5428,11659
41,12,152,320,695,0,0,0,67,5108,3336,5428,4098
204,12,129,320,120,0,0,0,12,5108,1697,5428,1829
20,12,119,320,115,0,0,0,77,5108,3145,5428,3337
45,12,95,320,2165,0,0,0,299,5108,17370,5428,19834
25,12,108,320,135,0,0,0,96,5108,367,5428,598
200,12,109,320,2150,0,0,0,0,5108,15775,5428,17925
7,12,182,320,70,0,0,0,101,5108,160,5428,331
26,12,74,320,50,0,0,0,97,5108,30,5428,177
6,12,36,320,240,0,0,0,0,5108,1209,5428,1449
3,12,137,320,15,0,0,0,5,5108,78,5428,98
16,12,138,320,1680,0,0,0,25,5108,9848,5428,11553
1976,12,11,320,10,0,0,0,0,5108,95,5428,105
76854,147,166,1720,300,0,0,462,130,30831,5888,33013,6318
1271,147,170,1720,895,0,0,462,125,30831,9379,33013,10399
1617,147,12,1720,320,0,0,462,0,30831,5108,33013,5428
1963,147,116,1720,1730,0,0,462,15,30831,36217,33013,37962
9920,147,85,1720,2510,0,0,462,35,30831,83916,33013,86461
948,147,130,1720,6915,0,0,462,90,30831,38740,33013,45745
166,147,77,1720,650,0,0,462,0,30831,9305,33013,9955
132,147,71,1720,140,0,0,462,0,30831,1275,33013,1415
16483,147,189,1720,75,0,0,462,94,30831,66,33013,235
1378,147,86,1720,920,0,0,462,25,30831,13618,33013,14563
4,147,142,1720,1125,0,0,462,0,30831,10534,33013,11659
1002,147,152,1720,695,0,0,462,67,30831,3336,33013,4098
723,147,129,1720,120,0,0,462,12,30831,1697,33013,1829
4,147,191,1720,710,0,0,462,186,30831,5872,33013,6768
143,147,119,1720,115,0,0,462,77,30831,3145,33013,3337
28,147,186,1720,860,0,0,462,25,30831,3132,33013,4017
207,147,95,1720,2165,0,0,462,299,30831,17370,33013,19834
246,147,108,1720,135,0,0,462,96,30831,367,33013,598
293,147,109,1720,2150,0,0,462,0,30831,15775,33013,17925
74,147,182,1720,70,0,0,462,101,30831,160,33013,331
270,147,74,1720,50,0,0,462,97,30831,30,33013,177
40,147,137,1720,15,0,0,462,5,30831,78,33013,98
26,147,138,1720,1680,0,0,462,25,30831,9848,33013,11553
1396,147,37,1720,0,0,0,462,285,30831,0,33013,285
411,147,41,1720,20,0,0,462,0,30831,105,33013,125
2818,116,130,1730,6915,0,0,15,90,36217,38740,37962,45745
1547,116,12,1730,320,0,0,15,0,36217,5108,37962,5428
1900,116,147,1730,1720,0,0,15,462,36217,30831,37962,33013
45112,116,166,1730,300,0,0,15,130,36217,5888,37962,6318
3582,116,85,1730,2510,0,0,15,35,36217,83916,37962,86461
4531,116,191,1730,710,0,0,15,186,36217,5872,37962,6768
791,116,77,1730,650,0,0,15,0,36217,9305,37962,9955
151,116,71,1730,140,0,0,15,0,36217,1275,37962,1415
3394,116,189,1730,75,0,0,15,94,36217,66,37962,235
490,116,170,1730,895,0,0,15,125,36217,9379,37962,10399
927,116,86,1730,920,0,0,15,25,36217,13618,37962,14563
851,116,142,1730,1125,0,0,15,0,36217,10534,37962,11659
323,116,152,1730,695,0,0,15,67,36217,3336,37962,4098
298,116,129,1730,120,0,0,15,12,36217,1697,37962,1829
22,116,186,1730,860,0,0,15,25,36217,3132,37962,4017
77,116,95,1730,2165,0,0,15,299,36217,17370,37962,19834
139,116,108,1730,135,0,0,15,96,36217,367,37962,598
203,116,109,1730,2150,0,0,15,0,36217,15775,37962,17925
63,116,182,1730,70,0,0,15,101,36217,160,37962,331
116,116,74,1730,50,0,0,15,97,36217,30,37962,177
101,116,36,1730,240,0,0,15,0,36217,1209,37962,1449
21,116,137,1730,15,0,0,15,5,36217,78,37962,98
43,116,138,1730,1680,0,0,15,25,36217,9848,37962,11553
1647,116,18,1730,310,0,0,15,0,36217,3459,37962,3769
2599,116,195,1730,540,0,0,15,294,36217,2645,37962,3479
38277,166,12,300,320,0,0,130,0,5888,5108,6318,5428
75741,166,147,300,1720,0,0,130,462,5888,30831,6318,33013
3975,166,95,300,2165,0,0,130,299,5888,17370,6318,19834
44986,166,116,300,1730,0,0,130,15,5888,36217,6318,37962
0,166,43,300,0,0,0,130,35,5888,0,6318,35
104702,166,85,300,2510,0,0,130,35,5888,83916,6318,86461
30468,166,130,300,6915,0,0,130,90,5888,38740,6318,45745
5388,166,119,300,115,0,0,130,77,5888,3145,6318,3337
871,166,67,300,15,0,0,130,0,5888,51,6318,66
7775,166,71,300,140,0,0,130,0,5888,1275,6318,1415
126163,166,189,300,75,0,0,130,94,5888,66,6318,235
443,166,66,300,95,0,0,130,0,5888,878,6318,973
5420,166,195,300,540,0,0,130,294,5888,2645,6318,3479
95250,166,191,300,710,0,0,130,186,5888,5872,6318,6768
12224,166,77,300,650,0,0,130,0,5888,9305,6318,9955
25649,166,170,300,895,0,0,130,125,5888,9379,6318,10399
35292,166,86,300,920,0,0,130,25,5888,13618,6318,14563
40955,166,142,300,1125,0,0,130,0,5888,10534,6318,11659
14018,166,152,300,695,0,0,130,67,5888,3336,6318,4098
11944,166,129,300,120,0,0,130,12,5888,1697,6318,1829
2778,166,186,300,860,0,0,130,25,5888,3132,6318,4017
6809,166,108,300,135,0,0,130,96,5888,367,6318,598
8687,166,109,300,2150,0,0,130,0,5888,15775,6318,17925
4721,166,182,300,70,0,0,130,101,5888,160,6318,331
9199,166,74,300,50,0,0,130,97,5888,30,6318,177
5433,166,36,300,240,0,0,130,0,5888,1209,6318,1449
1363,166,137,300,15,0,0,130,5,5888,78,6318,98
1957,166,138,300,1680,0,0,130,25,5888,9848,6318,11553
3756,166,158,300,10,0,0,130,35,5888,45,6318,90
536,166,0,300,0,0,0,130,63,5888,0,6318,63
1239,166,61,300,15,0,0,130,0,5888,68,6318,83
3629,166,18,300,310,0,0,130,0,5888,3459,6318,3769
455,166,201,300,160,0,0,130,0,5888,1337,6318,1497
548,166,89,300,25,0,0,130,0,5888,2257,6318,2282
1518,166,110,300,100,0,0,130,335,5888,5271,6318,5706
31,166,135,300,20,0,0,130,0,5888,15,6318,35
488,166,133,300,0,0,0,130,10,5888,0,6318,10
