flow,origin,destination,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
5421,12,191,51,264,0,612,0,0,0,0,51,876
3900,12,11,51,0,0,0,0,0,0,0,51,0
14053,12,85,51,3,0,0,0,0,0,0,51,3
2509,12,147,51,25,0,1200,0,0,0,0,51,1225
1822,12,116,51,11,0,0,0,0,0,0,51,11
42523,12,166,51,1,0,0,0,0,0,0,51,1
232,12,130,51,163,0,0,0,0,0,0,51,163
120,12,77,51,1,0,0,0,0,0,0,51,1
6,12,71,51,0,0,0,0,0,0,0,51,0
19203,12,189,51,6,0,0,0,0,0,0,51,6
158,12,170,51,5,0,0,0,0,0,0,51,5
4032,12,86,51,28,0,0,0,0,0,0,51,28
88,12,142,51,16,0,901,0,0,0,0,51,917
65,12,152,51,2,0,0,0,0,0,0,51,2
267,12,129,51,0,0,0,0,0,0,0,51,0
14,12,119,51,0,0,0,0,0,0,0,51,0
100,12,95,51,8,0,0,0,0,0,0,51,8
26,12,108,51,13,0,0,0,0,0,0,51,13
652,12,109,51,2,0,0,0,0,0,0,51,2
2,12,182,51,0,0,0,0,0,0,0,51,0
10,12,74,51,6,0,0,0,0,0,0,51,6
11,12,36,51,0,0,0,0,0,0,0,51,0
2,12,137,51,1,0,0,0,0,0,0,51,1
5,12,138,51,1,0,0,0,0,0,0,51,1
60940,147,166,25,1,1200,0,0,0,0,0,1225,1
2722,147,116,25,11,1200,0,0,0,0,0,1225,11
10,147,191,25,264,1200,612,0,0,0,0,1225,876
14,147,148,25,0,1200,0,0,0,0,0,1225,0
1170,147,170,25,5,1200,0,0,0,0,0,1225,5
1,147,36,25,0,1200,0,0,0,0,0,1225,0
781,147,152,25,2,1200,0,0,0,0,0,1225,2
24,147,142,25,16,1200,901,0,0,0,0,1225,917
262,147,179,25,0,1200,0,0,0,0,0,1225,0
385,147,178,25,0,1200,0,0,0,0,0,1225,0
5,147,89,25,0,1200,0,0,0,0,0,1225,0
9350,147,85,25,3,1200,0,0,0,0,0,1225,3
198,147,119,25,0,1200,0,0,0,0,0,1225,0
3,147,195,25,47,1200,0,0,0,0,0,1225,47
17234,147,189,25,6,1200,0,0,0,0,0,1225,6
4,147,47,25,0,1200,0,0,0,0,0,1225,0
5,147,145,25,0,1200,0,0,0,0,0,1225,0
1080,147,130,25,163,1200,0,0,0,0,0,1225,163
1758,147,12,25,51,1200,0,0,0,0,0,1225,51
218,147,77,25,1,1200,0,0,0,0,0,1225,1
182,147,71,25,0,1200,0,0,0,0,0,1225,0
1784,147,86,25,28,1200,0,0,0,0,0,1225,28
684,147,129,25,0,1200,0,0,0,0,0,1225,0
42,147,186,25,2,1200,0,0,0,0,0,1225,2
244,147,95,25,8,1200,0,0,0,0,0,1225,8
271,147,108,25,13,1200,0,0,0,0,0,1225,13
545,147,109,25,2,1200,0,0,0,0,0,1225,2
65,147,182,25,0,1200,0,0,0,0,0,1225,0
157,147,74,25,6,1200,0,0,0,0,0,1225,6
11,147,137,25,1,1200,0,0,0,0,0,1225,1
27,147,138,25,1,1200,0,0,0,0,0,1225,1
1607,147,37,25,0,1200,0,0,0,0,0,1225,0
425,147,41,25,0,1200,0,0,0,0,0,1225,0
8,116,47,11,0,0,0,0,0,0,0,11,0
13,116,121,11,0,0,0,0,0,0,0,11,0
8,116,119,11,0,0,0,0,0,0,0,11,0
8,116,118,11,0,0,0,0,0,0,0,11,0
6,116,116,11,11,0,0,0,0,0,0,11,11
2,116,123,11,0,0,0,0,0,0,0,11,0
6,116,51,11,0,0,0,0,0,0,0,11,0
250,116,120,11,0,0,0,0,0,0,0,11,0
5,116,131,11,2,0,0,0,0,0,0,11,2
2331,116,18,11,3,0,0,0,0,0,0,11,3
3,116,25,11,1,0,0,0,0,0,0,11,1
1,116,126,11,0,0,0,0,0,0,0,11,0
1949,116,147,11,25,0,1200,0,0,0,0,11,1225
3220,116,130,11,163,0,0,0,0,0,0,11,163
3012,116,189,11,6,0,0,0,0,0,0,11,6
38276,116,166,11,1,0,0,0,0,0,0,11,1
74,116,132,11,20,0,0,0,0,0,0,11,20
3734,116,195,11,47,0,0,0,0,0,0,11,47
12,116,102,11,5,0,0,0,0,0,0,11,5
1584,116,12,11,51,0,0,0,0,0,0,11,51
3991,116,85,11,3,0,0,0,0,0,0,11,3
3492,116,191,11,264,0,612,0,0,0,0,11,876
1059,116,77,11,1,0,0,0,0,0,0,11,1
152,116,71,11,0,0,0,0,0,0,0,11,0
483,116,170,11,5,0,0,0,0,0,0,11,5
739,116,86,11,28,0,0,0,0,0,0,11,28
837,116,142,11,16,0,901,0,0,0,0,11,917
227,116,152,11,2,0,0,0,0,0,0,11,2
352,116,129,11,0,0,0,0,0,0,0,11,0
26,116,186,11,2,0,0,0,0,0,0,11,2
117,116,95,11,8,0,0,0,0,0,0,11,8
143,116,108,11,13,0,0,0,0,0,0,11,13
217,116,109,11,2,0,0,0,0,0,0,11,2
46,116,182,11,0,0,0,0,0,0,0,11,0
151,116,74,11,6,0,0,0,0,0,0,11,6
99,116,36,11,0,0,0,0,0,0,0,11,0
23,116,137,11,1,0,0,0,0,0,0,11,1
53,116,138,11,1,0,0,0,0,0,0,11,1
7,116,201,11,0,0,0,0,0,0,0,11,0
110335,166,85,1,3,0,0,0,0,0,0,1,3
5180,166,195,1,47,0,0,0,0,0,0,1,47
134499,166,189,1,6,0,0,0,0,0,0,1,6
3813,166,18,1,3,0,0,0,0,0,0,1,3
110899,166,191,1,264,0,612,0,0,0,0,1,876
24,166,107,1,6,0,0,0,0,0,0,1,6
3377,166,95,1,8,0,0,0,0,0,0,1,8
6,166,148,1,0,0,0,0,0,0,0,1,0
13495,166,77,1,1,0,0,0,0,0,0,1,1
2883,166,186,1,2,0,0,0,0,0,0,1,2
29,166,102,1,5,0,0,0,0,0,0,1,5
9556,166,109,1,2,0,0,0,0,0,0,1,2
1192,166,31,1,1,0,0,0,0,0,0,1,1
13,166,62,1,0,0,0,0,0,0,0,1,0
150,166,83,1,0,0,0,0,0,0,0,1,0
409,166,66,1,1,0,0,0,0,0,0,1,1
47844,166,142,1,16,0,901,0,0,0,0,1,917
27,166,53,1,1,0,0,0,0,0,0,1,1
2053,166,138,1,1,0,0,0,0,0,0,1,1
43985,166,12,1,51,0,0,0,0,0,0,1,51
77748,166,147,1,25,0,1200,0,0,0,0,1,1225
43239,166,116,1,11,0,0,0,0,0,0,1,11
537,166,89,1,0,0,0,0,0,0,0,1,0
11,166,101,1,0,0,0,0,0,0,0,1,0
34867,166,130,1,163,0,0,0,0,0,0,1,163
17,166,184,1,1,0,0,0,0,0,0,1,1
790,166,0,1,0,0,0,0,0,0,0,1,0
23,166,124,1,0,0,0,0,0,0,0,1,0
5015,166,182,1,0,0,0,0,0,0,0,1,0
1574,166,76,1,10,0,0,0,0,0,0,1,10
5748,166,36,1,0,0,0,0,0,0,0,1,0
52,166,132,1,20,0,0,0,0,0,0,1,20
1927,166,137,1,1,0,0,0,0,0,0,1,1
5,166,22,1,2,0,0,0,0,0,0,1,2
4545,166,158,1,0,0,0,0,0,0,0,1,0
945,166,73,1,9,0,0,0,0,0,0,1,9
7832,166,119,1,0,0,0,0,0,0,0,1,0
3,166,64,1,0,0,0,0,0,0,0,1,0
8901,166,71,1,0,0,0,0,0,0,0,1,0
1328,166,61,1,0,0,0,0,0,0,0,1,0
850,166,67,1,0,0,0,0,0,0,0,1,0
13261,166,129,1,0,0,0,0,0,0,0,1,0
1428,166,110,1,20,0,0,0,0,0,0,1,20
38651,166,86,1,28,0,0,0,0,0,0,1,28
669,166,37,1,0,0,0,0,0,0,0,1,0
27686,166,170,1,5,0,0,0,0,0,0,1,5
13892,166,152,1,2,0,0,0,0,0,0,1,2
6116,166,108,1,13,0,0,0,0,0,0,1,13
10822,166,74,1,6,0,0,0,0,0,0,1,6
442,166,201,1,0,0,0,0,0,0,0,1,0
419,166,153,1,0,0,0,0,0,0,0,1,0
35,85,195,3,47,0,0,0,0,0,0,3,47
27027,85,189,3,6,0,0,0,0,0,0,3,6
94899,85,166,3,1,0,0,0,0,0,0,3,1
30,85,89,3,0,0,0,0,0,0,0,3,0
18,85,44,3,0,0,0,0,0,0,0,3,0
0,85,113,3,0,0,0,0,0,0,0,3,0
1830,85,135,3,1,0,0,0,0,0,0,3,1
52,85,182,3,0,0,0,0,0,0,0,3,0
517,85,183,3,1,0,0,0,0,0,0,3,1
1023,85,158,3,0,0,0,0,0,0,0,3,0
68,85,86,3,28,0,0,0,0,0,0,3,28
9290,85,147,3,25,0,1200,0,0,0,0,3,1225
241,85,119,3,0,0,0,0,0,0,0,3,0
3,85,43,3,0,0,0,0,0,0,0,3,0
2,85,168,3,3,0,0,0,0,0,0,3,3
16,85,52,3,0,0,0,0,0,0,0,3,0
1440,85,74,3,6,0,0,0,0,0,0,3,6
3582,85,137,3,1,0,0,0,0,0,0,3,1
2,85,73,3,9,0,0,0,0,0,0,3,9
15624,85,12,3,51,0,0,0,0,0,0,3,51
0,85,110,3,20,0,0,0,0,0,0,3,20
4079,85,116,3,11,0,0,0,0,0,0,3,11
13269,85,191,3,264,0,612,0,0,0,0,3,876
2576,85,130,3,163,0,0,0,0,0,0,3,163
620,85,77,3,1,0,0,0,0,0,0,3,1
928,85,71,3,0,0,0,0,0,0,0,3,0
1465,85,170,3,5,0,0,0,0,0,0,3,5
4088,85,142,3,16,0,901,0,0,0,0,3,917
652,85,152,3,2,0,0,0,0,0,0,3,2
108,85,186,3,2,0,0,0,0,0,0,3,2
237,85,95,3,8,0,0,0,0,0,0,3,8
29,85,108,3,13,0,0,0,0,0,0,3,13
348,85,109,3,2,0,0,0,0,0,0,3,2
305,85,36,3,0,0,0,0,0,0,0,3,0
213,85,138,3,1,0,0,0,0,0,0,3,1
458,85,76,3,10,0,0,0,0,0,0,3,10
13,191,195,264,47,612,0,0,0,0,0,876,47
31312,191,189,264,6,612,0,0,0,0,0,876,6
10,191,147,264,25,612,1200,0,0,0,0,876,1225
2,191,36,264,0,612,0,0,0,0,0,876,0
5709,191,12,264,51,612,0,0,0,0,0,876,51
93739,191,166,264,1,612,0,0,0,0,0,876,1
29,191,138,264,1,612,0,0,0,0,0,876,1
12363,191,85,264,3,612,0,0,0,0,0,876,3
2,191,168,264,3,612,0,0,0,0,0,876,3
692,191,170,264,5,612,0,0,0,0,0,876,5
3268,191,116,264,11,612,0,0,0,0,0,876,11
1112,191,130,264,163,612,0,0,0,0,0,876,163
806,191,77,264,1,612,0,0,0,0,0,876,1
132,191,71,264,0,612,0,0,0,0,0,876,0
5325,191,86,264,28,612,0,0,0,0,0,876,28
4,191,142,264,16,612,901,0,0,0,0,876,917
1,191,152,264,2,612,0,0,0,0,0,876,2
812,191,129,264,0,612,0,0,0,0,0,876,0
261,191,119,264,0,612,0,0,0,0,0,876,0
28,191,186,264,2,612,0,0,0,0,0,876,2
331,191,95,264,8,612,0,0,0,0,0,876,8
201,191,108,264,13,612,0,0,0,0,0,876,13
703,191,109,264,2,612,0,0,0,0,0,876,2
50,191,182,264,0,612,0,0,0,0,0,876,0
162,191,74,264,6,612,0,0,0,0,0,876,6
29,191,137,264,1,612,0,0,0,0,0,876,1
3307,130,116,163,11,0,0,0,0,0,0,163,11
12,130,102,163,5,0,0,0,0,0,0,163,5
29056,130,166,163,1,0,0,0,0,0,0,163,1
83,130,132,163,20,0,0,0,0,0,0,163,20
424,130,18,163,3,0,0,0,0,0,0,163,3
8,130,131,163,2,0,0,0,0,0,0,163,2
