flow,origin,destination,out_ratio
3,18,211,1.0
2,211,18,1.8160850654244644e-05
360,247,189,0.022026431718061675
257,189,247,0.006987113261921592
21509,189,211,0.5847697243216791
9588,189,265,0.2606709803708336
11803,265,189,0.24934510731789758
26284,211,189,0.23866989929808313
10,166,208,8.7946880084429e-05
0,208,166,0
932,166,220,0.008196649223868783
39,220,147,0.015234375
7432,147,211,0.7431256874312568
5545,166,236,0.04876654500681588
7570,191,211,0.5869126996433556
5147,236,166,0.8359590709761248
44382,211,166,0.4030074368683429
161,147,233,0.0160983901609839
7079,85,265,0.3420137211324766
965,233,85,0.10692520775623268
134,265,12,0.0028308264323136725
5,300,166,1.0
7256,211,147,0.06588756617359957
1664,210,166,0.7405429461504228
147,210,189,0.06542056074766354
3,147,220,0.00029997000299970003
162,147,221,0.016198380161983803
1,147,231,9.999000099990002e-05
19,147,206,0.0018998100189981002
40,147,212,0.003999600039996
115,147,236,0.011498850114988501
53,147,249,0.0052994700529947
9510,212,166,0.6733696806627487
17,215,166,1.0
44924,166,211,0.39509256409128884
11854,166,221,0.10425223165208214
41,166,207,0.0003605822083461589
6,166,300,5.2768128050657406e-05
4,166,255,3.51787520337716e-05
1511,166,210,0.013288773580757222
37,166,259,0.00032540345631238733
0,166,215,0.0
9,166,216,7.91521920759861e-05
920,166,217,0.008091112967767468
5,166,222,4.39734400422145e-05
15,166,276,0.0001319203201266435
0,166,288,0.0
36,166,223,0.0003166087683039444
763,166,224,0.006710346950441933
4,166,226,3.51787520337716e-05
42,166,230,0.0003693768963546018
30,166,232,0.000263840640253287
212,166,206,0.0018644738577898948
4979,166,233,0.0437887515940372
4,166,234,3.51787520337716e-05
100,166,240,0.0008794688008442901
0,166,242,0.0
8,166,243,7.03575040675432e-05
0,166,244,0.0
13573,166,265,0.11937030033859548
1,166,246,8.7946880084429e-06
1049,166,248,0.009225627720856602
338,166,249,0.0029726045468537006
2,166,250,1.75893760168858e-05
62,166,251,0.0005452706565234599
12,166,239,0.00010553625610131481
160,166,257,0.001407150081350864
1378,166,218,0.012119080075634317
2,166,301,1.75893760168858e-05
1483,166,253,0.01304252231652082
1078,217,166,0.6451226810293238
46,219,166,1.0
2510,220,166,0.98046875
132,85,210,0.006377427770799111
10493,85,211,0.5069571939317808
0,85,224,0.0
0,85,232,0.0
49,85,206,0.0023673784906754276
222,85,212,0.010725673978162141
