flow,origin,destination,out_ratio
571,247,189,0.03404077739358531
597,189,247,0.009388563879977354
1546,189,233,0.024312763414480718
12,247,71,0.0007153928699177298
10,71,247,0.16666666666666666
2,12,232,0.0006451612903225806
86,210,147,0.02361988464707498
3124,166,210,0.009476286533298956
7284,166,208,0.02209515720504148
85539,166,211,0.2594724948053327
7075,208,166,0.9292093511951668
120,85,208,0.003136680868860601
12399,191,211,0.5722527345733143
63,222,191,0.022661870503597123
22453,233,166,0.8803026738806555
31175,265,166,0.39881538717394366
483,236,85,0.07153436018957346
11709,211,191,0.08389218467887542
22783,189,265,0.3582908724916651
19588,265,189,0.25058527037572437
28157,166,228,0.08541094747698422
149,191,236,0.006876817279734158
21372,228,166,0.9250746656278406
5154,236,166,0.7633293838862559
79182,211,166,0.5673200928553005
3113,210,166,0.8549848942598187
238,147,217,0.018537269257730353
345,147,221,0.026871251655113327
1,147,276,7.788768595685022e-05
209,147,206,0.016278526364981696
620,147,212,0.04829036529324714
5851,147,211,0.4557208505335307
1,147,240,7.788768595685022e-05
88,147,236,0.006854116364202819
52,147,249,0.004050159669756212
33,147,253,0.0025702936365760575
23079,212,166,0.6634374910167591
10441,217,166,0.6808163797600417
19,215,166,1.0
2634,166,207,0.00798992917052159
23954,166,212,0.07266164136320204
16,166,215,4.853411796824049e-05
2990,166,206,0.00906981329531494
7613,166,218,0.023093140005763426
84,166,219,0.00025480411933326253
8083,166,220,0.02451882972108049
10731,166,217,0.03255122624482429
33343,166,221,0.10114206846344016
24,166,259,7.280117695236073e-05
316,166,223,0.0009585488298727497
9286,166,224,0.028167988715817573
7,166,225,2.1233676611105212e-05
28,166,229,8.493470644442085e-05
60,166,230,0.0001820029423809018
52,166,232,0.00015773588339678158
23,166,241,6.97677945793457e-05
300,166,242,0.0009100147119045091
6,166,243,1.8200294238090183e-05
171,166,246,0.0005187083857855702
6,166,244,1.8200294238090183e-05
4670,166,236,0.014165895681980192
1752,166,256,0.005314485917522333
17163,166,247,0.052061941668056964
1344,166,249,0.0040768659093322005
3952,166,253,0.011987927138155401
20,166,254,6.066764746030061e-05
7448,218,166,0.7935222672064778
106,219,166,0.9137931034482759
7212,220,166,0.999168744804655
3949,85,212,0.10322293959275426
23,85,220,0.0006011971665316151
111,85,222,0.0029014298036960555
11522,85,211,0.30117364142509867
5,85,224,0.00013069503620252504
1,85,225,2.6139007240505004e-05
7,85,223,0.00018297305068353504
0,85,229,0.0
1,85,232,2.6139007240505004e-05
305,85,206,0.007972397208354026
12,85,241,0.00031366808688606005
0,85,246,0.0
648,85,236,0.016938076691847243
151,85,249,0.003946990093316256
824,85,217,0.021538541966176123
118,85,253,0.0030844028543795905
31566,221,166,0.7618381039725829
6,276,166,1.0
355,223,166,1.0
8509,224,166,1.0
9,225,166,1.0
1,226,166,1.0
21,229,166,1.0
53,230,166,1.0
35,232,166,0.9459459459459459
2788,206,166,0.7026209677419355
651,234,166,1.0
972,235,166,0.6514745308310992
3212,189,212,0.05051267534754985
23147,189,211,0.36401522299804995
266,189,210,0.004183179216204315
3,189,215,4.717871296471032e-05
1,189,216,1.5726237654903442e-05
36,189,220,0.0005661445555765239
1180,189,217,0.01855696043278606
6002,189,221,0.09438887840473045
2,189,276,3.1452475309806884e-05
37,189,224,0.0005818707932314273
1,189,290,1.5726237654903442e-05
0,189,229,0.0
0,189,230,0.0
0,189,270,0.0
0,189,278,0.0
432,189,206,0.006793734666918286
1,189,234,1.5726237654903442e-05
95,189,240,0.001493992577215827
28,189,223,0.00044033465433729633
2,189,241,3.1452475309806884e-05
3,189,242,4.717871296471032e-05
1,189,243,1.5726237654903442e-05
848,189,236,0.013335849531358118
96,189,248,0.0015097188148707303
165,189,249,0.0025948292130590677
38,189,251,0.0005975970308863308
0,189,239,0.0
285,189,208,0.00448197773164748
185,189,235,0.0029093539661571364
221,189,253,0.0034754985217336602
0,189,254,0.0
5994,211,147,0.042945576476657206
12761,211,85,0.0914295130828533
23227,211,189,0.16641590003725676
341,240,166,0.5683333333333334
64,241,166,0.8205128205128205
136,242,166,1.0
31,243,166,1.0
46,246,166,0.92
98,244,166,0.9514563106796117
797,257,166,0.7859960552268245
14474,247,166,0.8628830332657684
1476,249,166,0.7376311844077961
85,239,166,1.0
3445,253,166,0.9466886507282221
45,254,166,1.0
14,166,258,4.2467353222210424e-05
26,214,166,1.0
14,258,166,1.0
1939,166,227,0.005881728421276144
4346,166,248,0.013183079793123323
4795,248,166,0.978172174622603
5469,221,189,0.1319930491866583
2370,166,266,0.007189116224045622
26238,166,233,0.07958988670316837
714,166,234,0.0021658350143327317
731,166,257,0.0022174025146739873
6,220,189,0.0008312551953449709
1913,227,166,0.7443579766536965
2304,266,166,0.7749747729566094
375,206,189,0.09450604838709678
3298,212,189,0.09480553080173629
1,189,207,1.5726237654903442e-05
8,189,246,0.00012580990123922753
332,237,166,0.827930174563591
4,246,189,0.08
