flow,origin,destination,out_ratio
70344,211,166,0.5463738960907827
94,208,147,0.007551413881748072
5461,211,147,0.042416522326733826
22149,211,189,0.1720350765454729
217,210,147,0.035855915399867815
1,147,220,7.707723138584863e-05
165,147,217,0.012717743178665022
1,147,231,7.707723138584863e-05
122,147,206,0.009403422229073533
6051,147,211,0.46639432711577
5,147,241,0.0003853861569292431
106,147,247,0.008170186526899954
44,147,249,0.0033913981809773393
44,147,253,0.0033913981809773393
676,212,147,0.017905861785818347
23893,212,166,0.6328768574682807
4848,212,85,0.12841363600243688
5133,212,189,0.13596270495059995
11,215,147,0.025404157043879907
367,215,166,0.8475750577367206
18,215,189,0.04157043879907621
68985,166,211,0.21298832014474006
2601,166,207,0.008030479389671217
7861,166,208,0.024270510758248917
5033,166,210,0.015539178303812086
22427,166,212,0.06924243032378177
275,166,215,0.0008490510696499749
3976,166,206,0.01227573473792109
558,166,216,0.0017228018067806763
56,166,219,0.0001728976723650858
5207,166,220,0.01607639607151789
332,166,269,0.0010250362004501515
33400,166,221,0.10312111173203331
54,166,259,0.00016672275549490414
2803,166,223,0.008654145993559561
5096,166,224,0.015733688185222805
1,166,225,3.087458435090818e-06
15,166,226,4.6311876526362266e-05
13003,166,217,0.0401462220314859
28546,166,228,0.08813458848810247
262,166,229,0.0008089141099937942
110,166,230,0.00033962042785998996
59,166,232,0.00018216004767035822
20934,166,233,0.06463285488019117
448,166,234,0.0013831813789206863
1932,166,235,0.00596496969659546
357,166,237,0.0011022226613274218
391,166,240,0.0012071962481205096
31,166,241,9.571121148781534e-05
529,166,242,0.0016332655121630425
8,166,243,2.4699667480726542e-05
693,166,246,0.0021396086955179365
33,166,244,0.00010188612835799698
31548,166,265,0.09740313871024511
14600,166,247,0.045076893152325936
5298,166,236,0.016357354789111152
8741,166,248,0.026987474181128835
1448,166,249,0.004470639814011504
1210,166,239,0.0037358247064598893
1049,166,257,0.0032387438984102677
13912,166,218,0.04295272174898345
5829,166,253,0.017996795218144377
964,166,254,0.0029763099314275483
14834,217,166,0.7657048469519434
4,219,147,0.05263157894736842
47,219,166,0.618421052631579
9628,208,166,0.7734575835475579
4744,220,166,0.9840282099149554
15,220,85,0.0031113876789047915
37,220,189,0.0076747562746318195
12621,85,211,0.3222355554420813
4683,85,212,0.11956493987285215
0,85,260,0.0
5,85,220,0.00012765848801286797
2,85,224,5.106339520514719e-05
1,85,225,2.5531697602573594e-05
0,85,229,0.0
9,85,232,0.00022978527842316236
509,85,206,0.01299563407970996
1663,85,233,0.04245921311307989
2019,85,221,0.05154849745959609
39,85,237,0.0009957362065003703
2,85,223,5.106339520514719e-05
6,85,241,0.00015319018561544157
2,85,243,5.106339520514719e-05
1,85,275,2.5531697602573594e-05
515,85,236,0.013148824265325402
0,85,246,0.0
0,85,284,0.0
203,85,249,0.00518293461332244
0,85,239,0.0
195,85,253,0.0049786810325018515
0,85,254,0.0
290,221,147,0.006788230612579294
33397,221,166,0.781746681959692
4455,221,189,0.10428126682427846
1956,221,85,0.04578544509725896
2610,223,166,0.9141856392294221
3949,224,166,0.9784440039643211
40,224,189,0.009910802775024777
5,225,147,0.2777777777777778
7,225,166,0.3888888888888889
2,225,85,0.1111111111111111
4,225,189,0.2222222222222222
175,217,147,0.009033190522892686
209,229,166,1.0
130,230,166,1.0
12145,211,85,0.09433229512143972
18,232,166,0.32142857142857145
4,232,85,0.07142857142857142
11,232,189,0.19642857142857142
4530,206,166,0.7341977309562399
361,206,85,0.058508914100486226
498,206,189,0.0807131280388979
18294,233,166,0.6937428896473266
2437,233,189,0.09241562381494123
1,234,85,0.002331002331002331
2016,235,166,0.7798839458413926
1004,217,189,0.051824704485624325
10,232,147,0.17857142857142858
48,189,207,0.0007296385249141154
23847,189,211,0.36249353965889397
238,189,210,0.0036177910193658227
6273,189,212,0.09535463472471346
44,189,220,0.0006688353145046058
1112,189,217,0.016903292493843675
1,189,269,1.5200802602377405e-05
4791,189,221,0.07282704526799015
2,189,276,3.040160520475481e-05
2,189,225,3.040160520475481e-05
193,189,266,0.0029337549022588395
8,189,232,0.00012160642081901924
525,189,206,0.007980421366248137
2287,189,233,0.03476423555163713
210,189,223,0.003192168546499255
16,189,241,0.00024321284163803848
