flow,origin,destination,out_ratio
1917,233,189,0.06282362194402569
17273,189,265,0.3174366890873672
21857,265,189,0.23968899757646206
36,147,266,0.0026923939869867622
3,166,288,9.289910228500825e-06
92096,166,211,0.285187857468004
2023,166,266,0.006264496130752389
22329,166,233,0.06914480183073164
35128,166,265,0.108778655502259
27446,166,228,0.08499029204381121
2,288,166,1.0
0,211,106,0.0
100878,211,166,0.5853225488261985
15544,211,191,0.09019066296867928
38,266,147,0.012868269556383339
2401,266,166,0.8130714527599052
11,266,199,0.0037250253979004403
186,266,189,0.06298679309177108
145,189,266,0.0026647553938324697
34122,221,166,0.7554630593132154
11,71,221,0.39285714285714285
29752,228,166,0.9025056118425044
105,210,147,0.018134715025906734
92,147,210,0.006880562411188393
7846,208,166,0.6991000623719148
7739,211,147,0.04490385619625637
25963,211,189,0.15064463346988036
314,147,221,0.02348365866427343
105,147,206,0.007852815795378058
545,147,212,0.04075985341410515
7164,147,211,0.5357864034103658
33,147,249,0.0024680278214045323
45,147,253,0.003365492483733453
26949,212,166,0.6413069344629004
11900,217,166,0.674641419581609
29,215,166,0.8529411764705882
5,215,189,0.14705882352941177
22004,166,212,0.06813839488931071
22,166,215,6.812600834233938e-05
3975,166,206,0.012309131052763593
9321,166,218,0.028863751079952066
66,166,219,0.00020437802502701815
8154,166,220,0.025249976001065242
9892,166,217,0.030631930660110055
31069,166,221,0.09620940696309738
741,166,223,0.0022946078264397037
4915,166,224,0.015219969591027185
8,166,225,2.477309394266887e-05
70,166,229,0.0002167645719983526
97,166,230,0.00030037376405486
22,166,270,6.812600834233938e-05
24,166,232,7.43192818280066e-05
15,166,241,4.644955114250413e-05
197,166,242,0.0006100374383382209
10,166,243,3.096636742833608e-05
235,166,246,0.000727709634565898
4,166,244,1.2386546971334434e-05
4006,166,236,0.012405126791791435
12998,166,247,0.040250084383351245
1459,166,249,0.0045179930077942345
0,166,251,0.0
370,166,239,0.001145755594848435
3824,166,253,0.011841538904595718
199,166,254,0.0006162307118238881
1163,217,189,0.06593344293894211
11551,218,166,0.8558198118100319
526,218,189,0.03897162332370156
115,219,166,0.8712121212121212
9256,220,166,0.9943065850252444
17,220,85,0.0018261897088838758
36,220,189,0.003867225265871737
6924,85,212,0.14932068147509164
29,85,220,0.0006254043562648264
2958,85,221,0.06379124433901229
14602,85,211,0.3149018762130688
6,85,224,0.00012939400474444685
4,85,225,8.626266982963122e-05
2573,85,228,0.05548846236791029
0,85,229,0.0
6,85,232,0.00012939400474444685
