flow,origin,destination,out_ratio
58379,211,166,0.5380305055066587
5014,211,147,0.046209852080549285
17070,211,189,0.15731993917331
174,210,189,0.0389087656529517
4278,147,211,0.399327919350322
76,147,206,0.007094184635489592
504,147,212,0.04704564547745729
1,147,241,9.334453467749463e-05
74,147,247,0.006907495566134603
49,147,249,0.004573882199197237
7,147,253,0.0006534117427424624
18319,212,166,0.6068506310663531
2902,212,189,0.09613409745917116
156,215,166,0.8
56536,166,211,0.1999957550073226
1968,166,207,0.0069617879909157155
20891,166,212,0.07390178501942084
186,166,215,0.0006579738649950829
3618,166,206,0.01279865292232371
4752,166,220,0.01681017100245502
27339,166,221,0.09671154567258372
67,166,214,0.00023701209115414276
206,166,259,0.0007287237429515434
3392,166,224,0.011999179301415705
13072,166,217,0.0462421202323426
22615,166,228,0.08000042449926774
215,166,229,0.0007605611880319507
123,166,230,0.0004351117494322322
49,166,232,0.0001733372009933283
20690,166,233,0.07319074874595842
275,166,234,0.0009728108219013322
2399,166,223,0.00848644786087744
31,166,241,0.00010966231083251382
333,166,242,0.0011779854679750677
6,166,243,2.122496338693816e-05
578,166,246,0.0020446714729417093
45,166,244,0.00015918722540203618
15707,166,247,0.055563416653106275
4269,166,236,0.015101561449806499
5740,166,248,0.02030521497350417
1359,166,249,0.004807454207141492
854,166,239,0.0030210197887408645
4357,166,253,0.015412860912814925
844,166,254,0.0029856448497626344
11344,217,166,0.7026759167492567
48,219,166,0.8275862068965517
8032,208,166,0.8048096192384769
4236,220,166,0.9700022899015343
38,220,189,0.008701625830089306
7960,85,212,0.20991561181434598
10221,85,211,0.2695411392405063
107,85,235,0.0028217299578059073
56,85,220,0.0014767932489451476
218,85,227,0.005748945147679325
2,85,232,5.2742616033755275e-05
480,85,206,0.012658227848101266
1906,85,221,0.050263713080168776
284,85,223,0.007489451476793249
1,85,244,2.6371308016877638e-05
254,85,236,0.00669831223628692
125,85,249,0.0032964135021097047
2,85,250,5.2742616033755275e-05
1,85,251,2.6371308016877638e-05
117,85,224,0.0030854430379746835
146,85,253,0.003850210970464135
28830,221,166,0.8002998001332445
1740,221,85,0.04830113257828115
3309,221,189,0.09185542971352431
2163,223,166,0.849901768172888
93,220,85,0.02129608426837646
4626,224,166,0.9595519601742377
37,224,189,0.0076747562746318195
6,225,166,0.5454545454545454
2,225,85,0.18181818181818182
3,225,189,0.2727272727272727
1,226,85,0.5
827,217,189,0.051226461843409316
170,229,166,1.0
105,230,166,1.0
14,232,166,0.4117647058823529
2,232,85,0.058823529411764705
4,232,189,0.11764705882352941
3378,206,166,0.6664036299072795
403,206,85,0.07950286052475833
319,206,189,0.0629315446833695
20071,233,166,0.6228394103956556
1331,235,166,0.6338095238095238
3740,189,212,0.07387654320987655
11,189,207,0.00021728395061728395
17613,189,211,0.3479111111111111
128,189,210,0.002528395061728395
42,189,220,0.0008296296296296296
3357,189,221,0.06631111111111111
1,189,276,1.9753086419753087e-05
42,189,224,0.0008296296296296296
321,189,227,0.0063407407407407405
1,189,232,1.9753086419753087e-05
427,189,206,0.008434567901234568
15,189,234,0.0002962962962962963
157,189,235,0.0031012345679012347
19,189,237,0.00037530864197530867
144,189,223,0.0028444444444444446
12,189,241,0.00023703703703703704
6,189,244,0.00011851851851851852
950,189,217,0.018765432098765432
397,189,236,0.007841975308641976
143,189,249,0.0028246913580246913
2,189,250,3.950617283950617e-05
4,189,251,7.901234567901235e-05
248,189,253,0.004898765432098766
388,237,166,0.8453159041394336
30,237,189,0.06535947712418301
52,241,166,0.8253968253968254
9709,211,85,0.0894797474770748
148,223,189,0.058153241650294694
3,241,147,0.047619047619047616
1,241,85,0.015873015873015872
3,241,189,0.047619047619047616
284,242,166,0.9826989619377162
44,243,166,0.8301886792452831
3,243,189,0.05660377358490566
385,246,166,0.9722222222222222
3856,236,166,0.7592045678283127
90,244,166,0.8181818181818182
5,244,189,0.045454545454545456
368,236,189,0.07245520771805473
2927,256,166,0.759865005192108
909,257,166,0.8354779411764706
13356,247,166,0.8338640194793032
