flow,origin,destination,out_ratio
71489,211,166,0.5586125523535663
1912,207,166,0.9083135391923991
8765,208,166,0.8121004354674326
5430,211,147,0.04242983059323623
21827,211,189,0.17055541664062013
3784,210,166,0.7131549189596683
542,210,85,0.10214851111948738
447,259,166,0.9933333333333333
10,147,276,0.0008393486654356219
2,147,225,0.00016786973308712439
140,147,217,0.011750881316098707
1,147,231,8.393486654356219e-05
82,147,206,0.0068826590565721005
763,147,212,0.06404230317273796
5411,147,211,0.45417156286721505
42,147,249,0.0035252643948296123
107,147,253,0.008981030720161156
21570,212,166,0.6029013053078793
5409,212,85,0.15118651647706627
5235,212,189,0.146323056712413
322,215,166,0.8541114058355438
66239,166,211,0.20880367933776964
2001,166,207,0.006307706371697596
6795,166,208,0.021419722536574294
3704,166,210,0.011676034183292302
222,166,259,0.0006998055045061801
25222,166,212,0.07950673168763456
284,166,215,0.0008952466814403384
13783,166,217,0.04344783454328234
59,166,219,0.000185984345792183
4743,166,220,0.014951250035463116
31129,166,221,0.09812723220618413
946,166,222,0.002982054086769578
65,166,214,0.0002048980080761338
4854,166,224,0.015301152787716207
13,166,225,4.097960161522676e-05
43,166,226,0.0001355479130349808
3244,166,206,0.010225986741522738
26479,166,228,0.08346914393612226
141,166,229,0.00044447106367284406
86,166,230,0.0002710958260699616
1103,166,231,0.003476961583199624
391,166,232,0.0012325403255041278
22008,166,233,0.06937531325753157
573,166,234,0.0018062547481173025
2044,166,235,0.006443254284732577
4625,166,236,0.014579281343878751
358,166,237,0.0011285151829423985
1223,166,239,0.0038552348288786406
792,166,240,0.0024966034214815073
3157,166,223,0.009951738638405452
15,166,241,4.728415570987703e-05
457,166,242,0.0014405906106275867
9,166,243,2.8370493425926218e-05
828,166,246,0.002610085395185212
78,166,244,0.0002458776096913606
18,166,245,5.6740986851852435e-05
3351,166,256,0.01056328038558653
761,166,257,0.002398882833014428
14728,166,247,0.046426736353004594
7764,166,248,0.02447427899543235
1165,166,249,0.0036724027601337827
34,166,250,0.0001071774196090546
16,166,251,5.043643275720217e-05
779,166,273,0.0024556238198662804
13584,166,218,0.042820531410864636
6169,166,253,0.01944639710494876
14527,217,166,0.7804340818738584
19,219,166,0.5
5,219,189,0.13157894736842105
3989,220,166,0.9698516897641624
34,220,85,0.008266472161439338
47,220,189,0.011427182105519086
11418,85,211,0.30656463954893276
6199,85,212,0.1664384481138408
98,85,235,0.0026312256678748826
26,85,220,0.0006980802792321117
0,85,286,0.0
5,85,232,0.00013424620754463686
420,85,206,0.011276681433749497
1175,85,233,0.03154785877298966
2011,85,221,0.05399382467445295
9,85,223,0.00024164317358034635
4,85,241,0.00010739696603570949
2,85,244,5.3698483017854744e-05
0,85,245,0.0
313,85,236,0.008403812592294268
112,85,249,0.0030071150489998657
1,85,250,2.6849241508927372e-05
0,85,239,0.0
1,85,224,2.6849241508927372e-05
154,85,253,0.004134783192374815
32117,221,166,0.7787827352085354
1874,221,85,0.04544131910766246
4395,221,189,0.10657129000969932
1350,222,166,0.5761843790012804
2323,223,166,0.9024864024864024
3560,224,166,0.9804461580831727
2,224,85,0.000550812448361333
30,224,189,0.008262186725419994
24,225,166,0.8571428571428571
3,225,85,0.10714285714285714
1,225,189,0.03571428571428571
13,226,166,1.0
147,217,147,0.007897281615987966
1084,217,189,0.05823573654238745
253,266,189,0.06963941646022571
230,229,166,1.0
135,230,166,1.0
15,232,166,0.28846153846153844
9,232,85,0.17307692307692307
10,232,189,0.19230769230769232
4074,206,166,0.7493102814051866
387,206,85,0.07117895898473423
396,206,189,0.0728342836122862
21183,233,166,0.7508773173584772
2019,233,189,0.07156782815213923
7487,189,212,0.11489825358337681
22830,189,211,0.35035757036309506
330,189,210,0.00506430127988705
69,189,220,0.001058899358521838
978,189,217,0.015008747429483441
4692,189,221,0.07200515637948497
547,189,222,0.008394463030600657
1,189,276,1.5346367514809243e-05
51,189,224,0.0007826647432552714
2,189,225,3.0692735029618486e-05
255,189,266,0.0039133237162763575
0,189,229,0.0
2,189,231,3.0692735029618486e-05
5,189,232,7.673183757404622e-05
492,189,206,0.007550412817286149
206,189,223,0.003161351708050704
2,189,241,3.0692735029618486e-05
10,189,243,0.00015346367514809244
4,189,244,6.138547005923697e-05
629,189,236,0.009652865166815015
1,189,250,1.5346367514809243e-05
3,189,251,4.603910254442773e-05
153,189,228,0.0023479942297658144
1,189,252,1.5346367514809243e-05
400,189,253,0.006138547005923698
