flow,origin,destination,out_ratio
82,12,166,1.0
0,12,189,0.0
0,12,147,0.0
41,147,189,0.10991957104557641
10,147,152,0.02680965147453083
6,147,168,0.0160857908847185
1,147,193,0.002680965147453083
2,147,195,0.005361930294906166
6,147,137,0.0160857908847185
2,147,142,0.005361930294906166
36,147,166,0.09651474530831099
19,147,37,0.05093833780160858
75,147,41,0.20107238605898123
175,147,12,0.4691689008042895
0,147,85,0.0
32,116,193,0.06779661016949153
15,116,18,0.03177966101694915
4,116,191,0.00847457627118644
295,116,130,0.625
5,116,168,0.01059322033898305
7,116,120,0.014830508474576272
3,116,204,0.006355932203389831
6,116,172,0.012711864406779662
22,116,195,0.046610169491525424
0,116,147,0.0
3,116,116,0.006355932203389831
31,116,22,0.06567796610169492
1,116,152,0.00211864406779661
10,116,95,0.0211864406779661
38,116,166,0.08050847457627118
0,166,168,0.0
13,166,86,0.01138353765323993
25,166,130,0.021891418563922942
10,166,77,0.008756567425569177
0,166,107,0.0
20,166,189,0.017513134851138354
3,166,142,0.002626970227670753
8,166,12,0.0070052539404553416
85,166,66,0.07443082311733801
1,166,195,0.0008756567425569177
6,166,204,0.005253940455341506
24,166,147,0.021015761821366025
43,166,116,0.03765323992994746
2,166,137,0.0017513134851138354
222,166,71,0.19439579684763572
0,166,102,0.0
10,166,85,0.008756567425569177
279,166,191,0.24430823117338005
7,166,152,0.006129597197898424
209,166,31,0.1830122591943958
30,166,47,0.02626970227670753
24,166,18,0.021015761821366025
9,166,109,0.00788091068301226
31,166,76,0.02714535901926445
59,166,73,0.05166374781085814
0,166,67,0.0
0,166,0,0.0
0,166,61,0.0
0,166,129,0.0
0,166,36,0.0
0,166,138,0.0
3,166,110,0.002626970227670753
3,166,186,0.002626970227670753
2,166,170,0.0017513134851138354
14,166,74,0.012259194395796848
11,85,168,0.043824701195219126
7,85,189,0.027888446215139442
0,85,85,0.0
146,85,135,0.5816733067729084
0,85,52,0.0
6,85,182,0.02390438247011952
28,85,183,0.11155378486055777
18,85,195,0.07171314741035857
1,85,74,0.00398406374501992
2,85,89,0.00796812749003984
11,85,136,0.043824701195219126
4,85,109,0.01593625498007968
5,85,153,0.0199203187250996
4,85,137,0.01593625498007968
0,85,12,0.0
2,85,147,0.00796812749003984
6,85,166,0.02390438247011952
0,85,71,0.0
1,191,189,0.03225806451612903
1,191,116,0.03225806451612903
3,191,168,0.0967741935483871
2,191,138,0.06451612903225806
2,191,195,0.06451612903225806
0,191,12,0.0
22,191,166,0.7096774193548387
17,130,18,0.04927536231884058
306,130,116,0.8869565217391304
5,130,168,0.014492753623188406
16,130,166,0.0463768115942029
1,130,195,0.002898550724637681
0,130,89,0.0
1,195,138,0.002277904328018223
35,195,168,0.07972665148063782
92,195,43,0.20956719817767655
2,195,195,0.004555808656036446
10,195,170,0.022779043280182234
43,195,160,0.0979498861047836
89,195,158,0.20273348519362186
17,195,193,0.0387243735763098
0,195,197,0.0
3,195,201,0.00683371298405467
2,195,147,0.004555808656036446
2,195,44,0.004555808656036446
1,195,86,0.002277904328018223
12,195,162,0.02733485193621868
11,195,159,0.025056947608200455
2,195,191,0.004555808656036446
1,195,107,0.002277904328018223
9,195,95,0.02050113895216401
2,195,106,0.004555808656036446
4,195,204,0.009111617312072893
29,195,161,0.06605922551252848
5,195,116,0.011389521640091117
20,195,85,0.04555808656036447
2,195,130,0.004555808656036446
0,195,189,0.0
11,195,172,0.025056947608200455
1,195,202,0.002277904328018223
4,195,164,0.009111617312072893
0,195,129,0.0
1,195,89,0.002277904328018223
0,195,108,0.0
6,195,115,0.01366742596810934
22,195,166,0.05011389521640091
2,186,168,0.2
0,186,187,0.0
0,186,102,0.0
8,186,73,0.8
0,95,109,0.0
4,95,195,0.2
5,95,166,0.25
