flow,origin,destination,out_ratio
1895,12,166,0.5594921759669323
1243,12,189,0.36699143785060523
161,12,147,0.04753469146737526
70,12,85,0.020667257159728374
17,12,86,0.005019191024505462
1,12,142,0.0002952465308532625
6,147,152,0.00026582783217402864
0,147,168,0.0
783,147,195,0.03469053209871074
3807,147,189,0.16866775951442117
89,147,130,0.003943112843914758
0,147,147,0.0
94,147,170,0.004164636037393115
15946,147,166,0.7064817686411767
389,147,12,0.01723450445261619
853,147,85,0.03779185680740774
217,147,86,0.009614106596960702
308,147,116,0.013645828718266802
10,147,37,0.0004430463869567144
69,147,41,0.003057020070001329
0,147,191,0.0
43,116,193,0.003936287074331747
8,116,47,0.0007323324789454412
0,116,116,0.0
5,116,120,0.0004577077993409008
73,116,170,0.0066825338703771515
2,116,168,0.0001830831197363603
56,116,18,0.005126327352618088
978,116,195,0.08952764555108018
2,116,22,0.0001830831197363603
171,116,189,0.015653606737458806
6886,116,166,0.6303551812522885
0,116,77,0.0
10,116,12,0.0009154155986818016
466,116,147,0.04265836689857195
640,116,85,0.0585865983156353
516,116,191,0.04723544489198096
5,116,86,0.0004577077993409008
1,116,74,9.154155986818015e-05
29,116,142,0.0026547052361772243
858,116,130,0.07854265836689857
175,116,138,0.016019772976931527
22661,166,189,0.19196428571428573
8646,166,86,0.07324139333152616
16371,166,85,0.13868087557603687
2997,166,195,0.02538797777175386
2072,166,12,0.017552182163187855
1,166,121,8.471130387638926e-06
0,166,107,0.0
14,166,166,0.00011859582542694497
6,166,199,5.082678232583356e-05
44,166,77,0.0003727297370561128
20,166,66,0.00016942260775277854
120,166,137,0.0010165356465166712
54,166,73,0.000457441040932502
129,166,138,0.0010927758200054215
16862,166,147,0.14284020059636757
16602,166,191,0.14063770669558145
5686,166,130,0.04816684738411493
524,166,186,0.004438872323122798
1748,166,71,0.014807535917592844
0,166,102,0.0
203,166,109,0.0017196394686907022
115,166,18,0.0009741799945784766
6736,166,116,0.05706153429113581
9456,166,142,0.08010300894551368
4150,166,170,0.03515519110870154
1778,166,74,0.015061669829222012
237,166,129,0.0020076579018704255
177,166,108,0.00149939007861209
361,166,31,0.0030580780699376526
58,166,47,0.0004913255624830578
24,166,119,0.00020330712930333424
130,166,76,0.0011012469503930604
12,166,152,0.00010165356465166712
51,166,67,0.0004320276497695853
0,166,0,0.0
3,166,61,2.541339116291678e-05
0,85,199,0.0
21,85,136,0.0007646930303692375
0,85,107,0.0
231,85,135,0.008411623334061612
0,85,95,0.0
33,85,52,0.001201660476294516
4,85,182,0.0001456558153084262
273,85,183,0.009941009394800087
49,85,158,0.0017842837375282208
5,85,168,0.00018206976913553272
0,85,133,0.0
815,85,195,0.029677372369091837
4593,85,189,0.16724928992790036
7,85,89,0.00025489767678974585
9,85,44,0.00032772558444395895
7,85,43,0.00025489767678974585
183,85,137,0.006663753550360498
0,85,164,0.0
0,85,129,0.0
742,85,74,0.02701915373971306
52,85,12,0.0018935255990095404
16280,85,166,0.5928191683052946
842,85,147,0.030660549122423712
633,85,116,0.023050032772558446
1869,85,191,0.06805767970286214
357,85,130,0.012999781516277037
246,85,170,0.00895783264146821
7,85,86,0.00025489767678974585
204,85,142,0.007428446580729736
4460,191,189,0.20032339202299676
3,191,195,0.00013474667624865252
3,191,168,0.00013474667624865252
1050,191,86,0.047161336687028384
14094,191,166,0.6330398850161696
82,191,12,0.0036830758174631693
468,191,116,0.021020481494789797
2005,191,85,0.09005569529284944
96,191,130,0.004311893639956881
3,191,147,0.00013474667624865252
0,191,110,0.0
6,130,168,0.0006872065055549192
584,130,195,0.06688809987401215
2,130,17,0.0002290688351849731
926,130,116,0.10605887069064254
5926,130,166,0.6787309586530752
0,130,102,0.0
50,130,147,0.005726720879624327
447,130,85,0.05119688466384149
116,130,191,0.013285992440728438
482,130,189,0.05520558927957851
160,130,86,0.018325506814797846
32,130,18,0.0036651013629595696
33,195,168,0.0022864269382664726
25,195,44,0.001732141619898843
2982,195,166,0.20660985242153398
322,195,43,0.022309984064297097
176,195,193,0.012194277004087855
13,195,195,0.0009007136423473983
160,195,172,0.011085706367352595
236,195,199,0.016351416891845078
824,195,85,0.057091387791865865
22,195,107,0.0015242846255109819
145,195,160,0.010046421395413289
1421,195,158,0.09845492967505023
49,195,159,0.0033949975750017323
886,195,201,0.06138709900921499
0,195,171,0.0
1922,195,86,0.13316704773782304
3,195,162,0.00020785699438786114
0,195,189,0.0
8,195,106,0.0005542853183676297
2081,195,170,0.1441834684403797
2,195,204,0.00013857132959190744
187,195,164,0.012956419316843345
52,195,161,0.003602854569389593
756,195,147,0.05237996258574101
918,195,116,0.0636042402826855
3,195,191,0.00020785699438786114
605,195,130,0.041917827201552
0,195,77,0.0
135,195,108,0.009353564747453752
0,195,109,0.0
0,195,202,0.0
0,195,182,0.0
1,195,74,6.928566479595372e-05
10,195,61,0.0006928566479595372
119,195,129,0.008244994110718492
31,195,119,0.0021478556086745653
306,195,138,0.02120141342756184
5,186,138,0.008223684210526315
0,186,109,0.0
0,186,168,0.0
0,186,187,0.0
0,186,102,0.0
603,186,166,0.9917763157894737
0,95,85,0.0
19,95,195,0.9047619047619048
2,95,160,0.09523809523809523
16,71,72,0.007455731593662628
53,71,65,0.024697110904007457
109,71,71,0.05079217148182665
5,71,138,0.002329916123019571
0,71,66,0.0
0,71,9,0.0
1963,71,166,0.9147250698974837
0,71,0,0.0
21668,189,166,0.5526705096158752
6,189,77,0.00015303780033668315
3983,189,147,0.10159159312350151
3,189,159,7.651890016834157e-05
0,189,195,0.0
4449,189,85,0.11347752894965056
184,189,116,0.00469315921032495
2,189,43,5.101260011222772e-05
118,189,86,0.0030097434066214354
4,189,162,0.00010202520022445544
4851,189,191,0.12373106157220834
1,189,168,2.550630005611386e-05
1,189,158,2.550630005611386e-05
3,189,164,7.651890016834157e-05
1179,189,12,0.030071927766158243
463,189,130,0.011809416925980717
600,189,170,0.015303780033668316
211,189,74,0.005381829311840025
1480,189,142,0.03774932408304851
63,170,116,0.00852734163508392
0,170,168,0.0
4016,170,166,0.5435841905793178
19,170,74,0.0025717379534380075
2135,170,195,0.28898213318895505
653,170,189,0.08838657282079047
109,170,147,0.014753654574986464
6,170,152,0.0008121277747698972
238,170,85,0.032214401732539255
34,170,130,0.0046020573903627505
114,170,86,0.015430427720628045
1,170,12,0.0001353546291283162
0,109,186,0.0
2,109,168,0.008888888888888889
0,109,13,0.0
0,109,76,0.0
0,109,53,0.0
0,109,73,0.0
1,109,195,0.0044444444444444444
189,109,166,0.84
14,109,77,0.06222222222222222
19,109,22,0.08444444444444445
3,86,168,0.00024213075060532688
8203,86,166,0.6620661824051655
1936,86,195,0.15625504439063762
43,86,43,0.003470540758676352
2,86,107,0.00016142050040355126
258,86,147,0.020823244552058112
5,86,85,0.0004035512510088781
92,86,189,0.0074253430185633575
10,86,199,0.0008071025020177562
14,86,12,0.0011299435028248588
146,86,116,0.011783696529459242
1263,86,191,0.10193704600484262
166,86,130,0.013397901533494754
105,86,170,0.00847457627118644
31,86,74,0.0025020177562550443
113,86,142,0.009120258272800646
4,182,85,0.056338028169014086
29,182,135,0.4084507042253521
38,182,183,0.5352112676056338
0,182,195,0.0
19,74,95,0.006622516556291391
19,74,170,0.006622516556291391
1,74,195,0.0003485535029627048
1604,74,166,0.5590798187521785
1,74,12,0.0003485535029627048
1,74,147,0.0003485535029627048
63,74,116,0.0219588706866504
870,74,85,0.30324154757755317
42,74,191,0.0146392471244336
65,74,130,0.02265597769257581
152,74,189,0.052980132450331126
32,74,86,0.011153712094806553
18,76,138,0.10650887573964497
0,76,13,0.0
1,76,109,0.005917159763313609
0,76,66,0.0
150,76,166,0.8875739644970414
8208,142,166,0.8305170494789031
2,142,12,0.0002023677021147425
61,142,116,0.006172214914499646
169,142,85,0.01710007082869574
25,142,130,0.002529596276434281
1279,142,189,0.12941414550237781
134,142,86,0.013558636041687746
