flow,origin,destination,out_ratio
0,12,166,0
0,12,147,0
0,12,189,0
12,147,152,0.12
0,147,172,0.0
3,147,195,0.03
0,147,107,0.0
12,147,166,0.12
1,147,189,0.01
8,147,37,0.08
63,147,41,0.63
1,147,36,0.01
0,147,12,0.0
0,147,170,0.0
8,116,18,0.12698412698412698
27,116,166,0.42857142857142855
6,116,130,0.09523809523809523
0,116,168,0.0
7,116,195,0.1111111111111111
1,116,119,0.015873015873015872
0,116,14,0.0
2,116,120,0.031746031746031744
2,116,35,0.031746031746031744
2,116,22,0.031746031746031744
8,116,152,0.12698412698412698
0,166,116,0.0
70,166,18,0.08101851851851852
365,166,85,0.4224537037037037
4,166,66,0.004629629629629629
9,166,137,0.010416666666666666
8,166,138,0.009259259259259259
0,166,71,0.0
0,166,12,0.0
45,166,147,0.052083333333333336
7,166,189,0.008101851851851851
211,166,31,0.24421296296296297
23,166,47,0.02662037037037037
0,166,119,0.0
39,166,77,0.04513888888888889
18,166,109,0.020833333333333332
0,166,41,0.0
24,166,76,0.027777777777777776
30,166,73,0.034722222222222224
11,166,130,0.01273148148148148
0,166,67,0.0
0,166,0,0.0
0,166,61,0.0
0,166,129,0.0
0,166,191,0.0
0,166,170,0.0
0,166,158,0.0
0,85,85,0.0
1,85,135,0.018518518518518517
0,85,183,0.0
2,85,168,0.037037037037037035
2,85,43,0.037037037037037035
2,85,195,0.037037037037037035
0,85,44,0.0
4,85,89,0.07407407407407407
7,85,162,0.12962962962962962
0,85,52,0.0
10,85,182,0.18518518518518517
2,85,153,0.037037037037037035
11,85,137,0.2037037037037037
2,85,73,0.037037037037037035
11,85,166,0.2037037037037037
0,85,71,0.0
0,85,189,0.0
0,85,129,0.0
0,85,36,0.0
2,191,147,1.0
0,191,168,0.0
0,191,166,0.0
4,130,116,0.3076923076923077
0,130,168,0.0
9,130,166,0.6923076923076923
10,195,168,0.10989010989010989
2,195,43,0.02197802197802198
22,195,158,0.24175824175824176
10,195,193,0.10989010989010989
1,195,159,0.01098901098901099
1,195,147,0.01098901098901099
0,195,160,0.0
0,195,161,0.0
9,195,201,0.0989010989010989
0,195,86,0.0
2,195,85,0.02197802197802198
2,195,172,0.02197802197802198
5,195,116,0.054945054945054944
8,195,162,0.08791208791208792
2,195,191,0.02197802197802198
2,195,135,0.02197802197802198
2,195,109,0.02197802197802198
2,195,131,0.02197802197802198
5,195,164,0.054945054945054944
6,195,152,0.06593406593406594
6,186,168,0.3333333333333333
12,186,138,0.6666666666666666
0,186,187,0.0
0,95,86,0
5,71,71,1.0
0,71,138,0.0
0,71,66,0.0
0,71,166,0.0
0,189,77,0.0
0,189,168,0.0
0,189,195,0.0
27,189,166,1.0
0,189,85,0.0
0,189,170,0.0
0,189,147,0.0
0,170,166,0
2,109,168,0.043478260869565216
0,109,73,0.0
2,109,195,0.043478260869565216
2,109,182,0.043478260869565216
23,109,31,0.5
0,109,166,0.0
17,109,77,0.3695652173913043
0,86,189,0.0
0,86,195,0.0
2,86,168,1.0
12,182,85,0.8571428571428571
2,182,168,0.14285714285714285
0,74,85,0
0,76,109,0.0
0,76,138,0.0
46,76,166,1.0
0,137,168,0.0
1,137,85,0.041666666666666664
2,137,74,0.08333333333333333
9,137,166,0.375
12,137,186,0.5
12,152,147,0.46153846153846156
2,152,168,0.07692307692307693
6,152,195,0.23076923076923078
6,152,116,0.23076923076923078
2,138,77,0.0111731843575419
13,138,17,0.07262569832402235
0,138,159,0.0
2,138,43,0.0111731843575419
2,138,67,0.0111731843575419
0,138,35,0.0
101,138,31,0.5642458100558659
1,138,62,0.00558659217877095
2,138,16,0.0111731843575419
2,138,64,0.0111731843575419
0,138,30,0.0
2,138,65,0.0111731843575419
1,138,29,0.00558659217877095
5,138,188,0.027932960893854747
0,138,71,0.0
6,138,66,0.0335195530726257
0,138,83,0.0
0,138,9,0.0
0,138,1,0.0
3,138,72,0.01675977653631285
3,138,6,0.01675977653631285
3,138,0,0.01675977653631285
4,138,82,0.0223463687150838
2,138,138,0.0111731843575419
0,138,168,0.0
0,138,76,0.0
8,138,53,0.0446927374301676
0,138,104,0.0
2,138,13,0.0111731843575419
4,138,22,0.0223463687150838
0,138,69,0.0
11,138,116,0.061452513966480445
0,138,187,0.0
0,159,138,0
0,159,195,0
8,201,195,1.0
0,129,116,0
0,129,166,0
0,129,85,0
2,43,66,0.11764705882352941
12,43,195,0.7058823529411765
3,43,158,0.17647058823529413
4,162,158,0.4
2,162,85,0.2
4,162,195,0.4
8,193,195,0.8
1,160,195,0.2
2,160,158,0.4
0,160,43,0.0
2,160,168,0.4
1,36,147,0.037037037037037035
26,36,41,0.9629629629629629
0,36,189,0.0
0,158,147,0.0
2,158,44,0.07142857142857142
2,158,43,0.07142857142857142
22,158,195,0.7857142857142857
2,158,160,0.07142857142857142
0,158,166,0.0
3,77,31,0.0379746835443038
2,77,138,0.02531645569620253
5,77,17,0.06329113924050633
1,77,18,0.012658227848101266
3,77,168,0.0379746835443038
52,77,166,0.6582278481012658
13,77,76,0.16455696202531644
1,119,116,0.08333333333333333
11,119,166,0.9166666666666666
1,18,77,0.010309278350515464
28,18,116,0.28865979381443296
6,18,168,0.061855670103092786
57,18,166,0.5876288659793815
5,18,109,0.05154639175257732
3,31,77,0.008670520231213872
0,31,188,0.0
79,31,138,0.22832369942196531
241,31,166,0.6965317919075145
23,31,109,0.06647398843930635
2,67,138,0.14285714285714285
0,67,67,0.0
7,67,69,0.5
2,67,66,0.14285714285714285
3,67,0,0.21428571428571427
0,67,64,0.0
0,67,166,0.0
0,61,166,0
4,9,138,1.0
0,9,66,0.0
4,89,85,1.0
0,135,85,0.0
2,135,195,0.5
2,135,182,0.5
3,72,138,1.0
0,72,71,0.0
0,72,9,0.0
10,37,147,0.06535947712418301
143,37,41,0.934640522875817
0,30,138,0
0,30,5,0
0,30,0,0
1,65,138,1.0
0,65,0,0.0
0,65,65,0.0
4,13,138,1.0
1,0,67,0.0136986301369863
32,0,0,0.4383561643835616
2,0,1,0.0273972602739726
14,0,2,0.1917808219178082
5,0,4,0.0684931506849315
0,0,71,0.0
6,0,70,0.0821917808219178
0,0,65,0.0
2,0,3,0.0273972602739726
11,0,138,0.1506849315068493
0,0,9,0.0
0,0,66,0.0
0,0,166,0.0
56,41,147,0.25
0,41,166,0.0
146,41,37,0.6517857142857143
22,41,36,0.09821428571428571
6,66,138,0.3157894736842105
4,66,66,0.21052631578947367
0,66,104,0.0
2,66,13,0.10526315789473684
2,66,168,0.10526315789473684
5,66,166,0.2631578947368421
0,66,64,0.0
0,66,1,0.0
0,66,72,0.0
0,66,6,0.0
0,66,65,0.0
0,66,0,0.0
0,53,168,0.0
0,53,66,0.0
0,53,138,0.0
8,53,166,1.0
2,22,17,0.3333333333333333
2,22,138,0.3333333333333333
2,22,18,0.3333333333333333
0,73,76,0.0
2,73,85,0.047619047619047616
2,73,182,0.047619047619047616
19,73,116,0.4523809523809524
19,73,166,0.4523809523809524
8,107,101,0.8
2,107,168,0.2
2,131,121,1.0
3,62,138,1.0
0,62,64,0.0
2,64,138,0.6666666666666666
1,64,64,0.3333333333333333
2,1,0,1.0
0,1,138,0.0
0,1,9,0.0
0,1,66,0.0
4,29,138,1.0
3,6,138,0.6
2,6,66,0.4
0,6,186,0.0
5,2,0,0.7142857142857143
2,2,2,0.2857142857142857
0,187,186,0
0,187,66,0
0,104,72,0
0,104,30,0
0,104,138,0
2,16,138,1.0
0,16,168,0.0
0,14,20,0
7,17,77,0.21212121212121213
13,17,138,0.3939393939393939
13,17,17,0.3939393939393939
0,20,18,0
2,188,17,0.6666666666666666
0,188,138,0.0
1,188,62,0.3333333333333333
4,82,138,1.0
0,83,138,0.0
2,83,168,1.0
0,15,138,0
26,47,166,1.0
2,121,195,1.0
2,168,116,0.03636363636363636
6,168,18,0.10909090909090909
3,168,77,0.05454545454545454
6,168,186,0.10909090909090909
0,168,168,0.0
0,168,95,0.0
0,168,172,0.0
4,168,109,0.07272727272727272
0,168,31,0.0
2,168,153,0.03636363636363636
0,168,53,0.0
2,168,137,0.03636363636363636
0,168,158,0.0
2,168,83,0.03636363636363636
2,168,152,0.03636363636363636
0,168,138,0.0
2,168,85,0.03636363636363636
4,168,195,0.07272727272727272
0,168,16,0.0
1,168,147,0.01818181818181818
4,168,107,0.07272727272727272
2,168,86,0.03636363636363636
3,168,135,0.05454545454545454
0,168,193,0.0
4,168,191,0.07272727272727272
2,168,130,0.03636363636363636
0,168,189,0.0
2,168,66,0.03636363636363636
2,168,73,0.03636363636363636
2,120,116,1.0
0,3,0,0
4,4,0,1.0
0,70,0,0
0,35,15,0.0
0,5,0,0
0,161,195,0
6,101,107,0.75
2,101,168,0.25
2,153,168,0.5
2,153,85,0.5
0,183,85,0
0,183,135,0
3,69,67,1.0
0,69,138,0.0
0,172,168,0.0
0,172,189,0.0
2,172,195,1.0
2,35,116,1.0
5,164,195,1.0
0,44,160,0.0
