flow,origin,destination,out_ratio
25,12,166,1.0
0,12,189,0.0
86,147,166,0.3481781376518219
0,147,189,0.0
13,147,168,0.05263157894736842
12,147,152,0.048582995951417005
6,147,195,0.024291497975708502
2,147,119,0.008097165991902834
4,147,116,0.016194331983805668
0,147,147,0.0
3,147,110,0.012145748987854251
1,147,148,0.004048582995951417
3,147,106,0.012145748987854251
1,147,204,0.004048582995951417
14,147,37,0.05668016194331984
102,147,41,0.41295546558704455
0,147,191,0.0
0,147,12,0.0
0,147,130,0.0
0,147,170,0.0
30,116,193,0.03161222339304531
2,116,47,0.002107481559536354
5,116,191,0.005268703898840885
572,116,130,0.6027397260273972
14,116,195,0.014752370916754479
3,116,138,0.003161222339304531
1,116,85,0.001053740779768177
9,116,18,0.009483667017913594
0,116,168,0.0
0,116,120,0.0
0,116,172,0.0
7,116,166,0.007376185458377239
294,116,189,0.30979978925184404
12,116,22,0.012644889357218124
10,166,189,0.006199628022318661
93,166,147,0.05765654060756355
17,166,85,0.010539367637941723
0,166,168,0.0
28,166,86,0.01735895846249225
8,166,109,0.0049597024178549285
5,166,77,0.0030998140111593306
39,166,195,0.02417854928704278
394,166,191,0.24426534407935524
2,166,186,0.0012399256044637321
39,166,66,0.02417854928704278
56,166,73,0.0347179169249845
345,166,71,0.2138871667699938
0,166,102,0.0
15,166,158,0.009299442033477991
0,166,12,0.0
2,166,170,0.0012399256044637321
293,166,31,0.18164910105393675
23,166,47,0.01425914445133292
54,166,18,0.03347799132052077
12,166,116,0.007439553626782393
11,166,119,0.006819590824550527
34,166,76,0.021078735275883446
0,166,129,0.0
15,166,130,0.009299442033477991
17,166,152,0.010539367637941723
101,166,67,0.06261624302541847
0,166,0,0.0
0,166,61,0.0
0,166,138,0.0
18,85,189,0.04466501240694789
0,85,138,0.0
22,85,168,0.05459057071960298
5,85,166,0.01240694789081886
7,85,44,0.017369727047146403
1,85,86,0.0024813895781637717
1,85,85,0.0024813895781637717
31,85,195,0.07692307692307693
166,85,135,0.4119106699751861
9,85,52,0.022332506203473945
1,85,182,0.0024813895781637717
108,85,183,0.2679900744416873
6,85,73,0.01488833746898263
4,85,158,0.009925558312655087
1,85,133,0.0024813895781637717
10,85,137,0.02481389578163772
2,85,74,0.004962779156327543
1,85,116,0.0024813895781637717
1,85,43,0.0024813895781637717
2,85,89,0.004962779156327543
3,85,136,0.007444168734491315
2,85,153,0.004962779156327543
0,85,191,0.0
2,85,130,0.004962779156327543
0,85,12,0.0
9,191,116,0.10465116279069768
13,191,195,0.1511627906976744
0,191,142,0.0
0,191,85,0.0
16,191,12,0.18604651162790697
45,191,166,0.5232558139534884
0,191,191,0.0
3,191,189,0.03488372093023256
605,130,116,0.7918848167539267
5,130,168,0.006544502617801047
4,130,195,0.005235602094240838
6,130,138,0.007853403141361256
0,130,132,0.0
128,130,189,0.16753926701570682
16,130,166,0.020942408376963352
14,195,116,0.022988505747126436
45,195,168,0.07389162561576355
42,195,85,0.06896551724137931
2,195,182,0.003284072249589491
3,195,170,0.0049261083743842365
108,195,43,0.17733990147783252
10,195,162,0.016420361247947456
0,195,195,0.0
40,195,160,0.06568144499178982
120,195,158,0.19704433497536947
6,195,147,0.009852216748768473
14,195,193,0.022988505747126436
5,195,159,0.008210180623973728
7,195,201,0.011494252873563218
0,195,171,0.0
8,195,86,0.013136288998357963
2,195,107,0.003284072249589491
0,195,189,0.0
2,195,106,0.003284072249589491
2,195,204,0.003284072249589491
6,195,202,0.009852216748768473
51,195,161,0.08374384236453201
5,195,152,0.008210180623973728
1,195,138,0.0016420361247947454
1,195,44,0.0016420361247947454
21,195,191,0.034482758620689655
6,195,130,0.009852216748768473
47,195,172,0.07717569786535304
2,195,109,0.003284072249589491
16,195,166,0.026272577996715927
2,195,108,0.003284072249589491
3,195,137,0.0049261083743842365
12,195,115,0.019704433497536946
2,195,164,0.003284072249589491
2,195,133,0.003284072249589491
2,195,77,0.003284072249589491
0,186,168,0.0
0,186,109,0.0
0,186,166,0.0
4,186,73,1.0
0,186,187,0.0
0,186,102,0.0
0,95,166,0
5,71,9,0.010775862068965518
17,71,65,0.036637931034482756
75,71,71,0.16163793103448276
19,71,138,0.040948275862068964
4,71,72,0.008620689655172414
5,71,0,0.010775862068965518
0,71,168,0.0
0,71,13,0.0
339,71,166,0.7306034482758621
18,189,147,0.022813688212927757
25,189,166,0.031685678073510776
9,189,85,0.011406844106463879
6,189,138,0.0076045627376425855
0,189,168,0.0
7,189,109,0.008871989860583017
0,189,195,0.0
1,189,170,0.0012674271229404308
0,189,172,0.0
0,189,12,0.0
247,189,116,0.31305449936628643
111,189,130,0.14068441064638784
364,189,86,0.46134347275031684
1,189,191,0.0012674271229404308
0,189,158,0.0
4,170,195,0.2857142857142857
2,170,191,0.14285714285714285
2,170,189,0.14285714285714285
4,170,168,0.2857142857142857
2,170,166,0.14285714285714285
0,170,142,0.0
4,109,138,0.08888888888888889
0,109,186,0.0
0,109,168,0.0
2,109,166,0.044444444444444446
6,109,189,0.13333333333333333
0,109,73,0.0
2,109,85,0.044444444444444446
2,109,195,0.044444444444444446
17,109,77,0.37777777777777777
12,109,22,0.26666666666666666
4,86,109,0.008948545861297539
18,86,166,0.040268456375838924
1,86,85,0.0022371364653243847
11,86,195,0.024608501118568233
4,86,108,0.008948545861297539
9,86,43,0.020134228187919462
6,86,168,0.013422818791946308
6,86,137,0.013422818791946308
8,86,73,0.017897091722595078
380,86,189,0.8501118568232662
1,182,85,0.05
2,182,195,0.1
1,182,135,0.05
16,182,183,0.8
0,182,102,0.0
0,74,85,0.0
0,74,137,0.0
6,74,166,1.0
15,76,138,0.29411764705882354
0,76,109,0.0
0,76,186,0.0
36,76,166,0.7058823529411765
2,142,191,1.0
0,142,47,0.0
0,142,166,0.0
5,137,195,0.3333333333333333
5,137,85,0.3333333333333333
5,137,189,0.3333333333333333
0,137,182,0.0
0,137,74,0.0
0,137,137,0.0
0,137,158,0.0
12,115,195,1.0
12,152,147,0.34285714285714286
0,152,168,0.0
2,152,170,0.05714285714285714
4,152,195,0.11428571428571428
17,152,166,0.4857142857142857
6,138,77,0.00906344410876133
7,138,18,0.010574018126888218
26,138,64,0.03927492447129909
123,138,67,0.18580060422960726
158,138,30,0.23867069486404835
19,138,61,0.028700906344410877
0,138,138,0.0
0,138,85,0.0
4,138,168,0.006042296072507553
5,138,189,0.0075528700906344415
0,138,109,0.0
128,138,31,0.1933534743202417
12,138,76,0.01812688821752266
23,138,66,0.03474320241691843
73,138,62,0.11027190332326284
