flow,origin,destination,out_ratio
34220,12,166,0.49300543141576986
1453,12,147,0.020933281468355158
1494,12,116,0.021523965941997666
10144,12,85,0.14614398294218495
4048,12,191,0.058319286568411344
235,12,130,0.0033856305196582675
53,12,77,0.0007635677342208007
1,12,71,1.4406938381524542e-05
13633,12,189,0.19640979095532407
110,12,170,0.0015847632219676997
2248,12,86,0.03238679748166717
121,12,142,0.0017432395441644695
67,12,152,0.0009652648715621444
211,12,129,0.0030398639985016783
6,12,119,8.644163028914726e-05
49,12,95,0.0007059399806947026
17,12,108,0.0002449179524859172
256,12,109,0.003688176225670283
13,12,182,0.00018729019895981906
3,12,74,4.322081514457363e-05
20,12,36,0.00028813876763049087
20,12,138,0.00028813876763049087
989,12,11,0.014248462059327772
762,147,130,0.008213242506224603
62,147,195,0.0006682690753096133
1504,147,170,0.016210914342994494
1559,147,12,0.016803733683994956
1897,147,116,0.02044687799777962
60163,147,166,0.6484689093201979
6990,147,85,0.07534194897442253
1,147,191,1.07785334727357e-05
142,147,77,0.0015305517531284693
112,147,71,0.0012071957489463983
13705,147,189,0.14771980124384276
1356,147,86,0.014615691389029609
1160,147,152,0.012503098828373412
394,147,129,0.004246742188257865
115,147,119,0.0012395313493646055
20,147,186,0.000215570669454714
127,147,95,0.001368873751037434
149,147,108,0.0016060014874376193
306,147,109,0.003298231242657124
69,147,182,0.0007437188096187633
192,147,74,0.0020694784267652542
20,147,137,0.000215570669454714
41,147,138,0.00044191987238216367
1612,147,37,0.01737499595804995
319,147,41,0.0034383521778026884
0,116,199,0.0
2491,116,195,0.03912913714833258
1447,116,12,0.02272977175979014
1958,116,147,0.030756664205714646
40200,116,166,0.6314698166852547
3087,116,85,0.0484912269678453
2171,116,191,0.034102511741882786
2865,116,130,0.04500400559212076
844,116,77,0.013257724509511317
113,116,71,0.0017750270966525815
3827,116,189,0.06011529822026044
400,116,170,0.006283281758062236
685,116,86,0.010760120010681579
751,116,142,0.011796861500761847
313,116,152,0.004916667975683699
300,116,129,0.004712461318546677
31,116,186,0.0004869543362498233
86,116,95,0.0013509055779833807
129,116,108,0.0020263583669750712
182,116,109,0.0028588931999183175
52,116,182,0.0008168266285480906
131,116,74,0.002057774775765382
100,116,36,0.001570820439515559
14,116,137,0.00021991486153217826
38,116,138,0.0005969117670159124
1446,116,18,0.022714063555394983
33441,166,12,0.05223597332671031
0,166,43,0.0
0,166,135,0.0
5807,166,71,0.00907073045388017
116884,166,189,0.18257676224751676
745,166,67,0.0011637152037438827
457,166,66,0.0007138494605516166
60326,166,147,0.09423125286047446
40014,166,116,0.06250322169477547
90351,166,85,0.1411313186220987
72389,166,191,0.11307406695814218
24940,166,130,0.03895712373338582
12269,166,77,0.01916459306675664
20269,166,170,0.03166086371098625
36026,166,86,0.056273830778627
36475,166,142,0.05697518396853439
11544,166,152,0.018032118539623332
12229,166,129,0.019102111713535493
5531,166,119,0.008639609116654248
2805,166,186,0.004381504894633008
3822,166,95,0.005970093300280697
6934,166,108,0.010831142580886017
9186,166,109,0.014348842767236653
4691,166,182,0.0073275006990101395
8132,166,74,0.012702459109859402
4473,166,36,0.006986977323954882
1314,166,137,0.0020525124533147137
2130,166,138,0.0033271320590261342
3263,166,18,0.005096916389015153
3276,166,158,0.005117222828812026
4405,166,195,0.006880759023478931
1008,166,61,0.0015745301011729311
355,166,201,0.000554522009837689
608,166,89,0.0009497165689614505
1170,166,110,0.0018275795817185808
366,166,0,0.0005717043819735048
362,166,153,0.00056545624665139
1350,166,76,0.0021087456712137473
844,166,73,0.0013183565529662242
0,85,110,0.0
611,85,158,0.003852386146541995
10010,85,12,0.0631135602731348
7028,85,147,0.044311898261697444
3009,85,116,0.018971898387798464
91187,85,166,0.5749386833792551
9543,85,191,0.06016910146718536
1951,85,130,0.012301154454833768
470,85,77,0.0029633739588784576
630,85,71,0.0039721821150924
22297,85,189,0.14058372161938928
975,85,170,0.006147424701928715
117,85,86,0.0007376909642314458
2877,85,142,0.018139631658921962
638,85,152,0.0040226225229030976
116,85,119,0.0007313859132551087
104,85,186,0.0006557253015390629
250,85,95,0.0015762627440842859
54,85,108,0.0003404727527222058
341,85,109,0.002150022382930966
1815,85,74,0.011443667522051915
212,85,36,0.0013366708069834745
2914,85,137,0.018372918545046437
132,85,138,0.000832266728876503
1019,85,135,0.00642484694488755
303,85,76,0.0019104304458301545
545,191,170,0.004465602569565075
5271,191,12,0.04318934154894956
2232,191,116,0.018288486119760087
72959,191,166,0.5978089869227492
9859,191,85,0.08078234079512307
893,191,130,0.007317033201140573
270,191,77,0.002212316869325817
137,191,71,0.0011225459670282849
23345,191,189,0.19128347153485628
4520,191,86,0.03703582314575071
4,191,152,3.2775064730752846e-05
510,191,129,0.004178820753170987
173,191,119,0.0014175215496050604
21,191,186,0.00017206908983645241
285,191,95,0.00233522336206614
178,191,108,0.0014584903805185015
421,191,109,0.0034495755629117366
73,191,182,0.0005981449313362394
199,191,74,0.001630559470354954
79,191,137,0.0006473075284323687
70,191,138,0.0005735636327881747
841,130,147,0.021857781474165713
352,130,195,0.009148560141386838
243,130,12,0.006315625324877846
2877,130,116,0.07477388501923277
25481,130,166,0.6622569913712444
2082,130,85,0.0541116540180892
893,130,191,0.023209273313234222
174,130,77,0.004522299615344631
42,130,71,0.001091589562324566
3207,130,189,0.08335066015178293
212,130,170,0.005509928266971618
450,130,86,0.011695602453477493
345,130,142,0.008966628547666078
10,130,152,0.0002599022767439443
222,130,129,0.005769830543715563
18,130,186,0.0004678240981390997
53,130,95,0.0013774820667429046
93,130,108,0.002417091173718682
96,130,109,0.002495061856741865
24,130,182,0.0006237654641854663
