flow,origin,destination,out_ratio
1,12,195,6.926646810279144e-05
7172,12,166,0.4967791092332202
531,12,147,0.036780494562582255
2866,12,85,0.19851769758260027
3507,12,189,0.24291750363648956
16,12,86,0.001108263489644663
340,12,191,0.02355059915494909
4,12,142,0.0002770658724111658
7558,147,189,0.2030574138255286
0,147,147,0.0
21,147,152,0.0005641976303699524
2,147,159,5.373310765428118e-05
1,147,142,2.686655382714059e-05
603,147,195,0.016200531957765777
0,147,168,0.0
2,147,158,5.373310765428118e-05
12,147,191,0.0003223986459256871
26643,147,166,0.7158055936165069
502,147,12,0.013487010021224578
83,147,129,0.0022299239676526693
372,147,116,0.0099943580236963
983,147,85,0.026409822412079204
159,147,130,0.004271782058515354
199,147,86,0.005346444211600978
3,147,74,8.059966148142178e-05
16,147,37,0.00042986486123424946
62,147,41,0.0016657263372827167
60,116,193,0.0031395531369368427
24,116,47,0.001255821254774737
3,116,116,0.00015697765684684212
2,116,121,0.00010465177123122809
883,116,130,0.0462037569985872
494,116,189,0.025848987494113337
8,116,120,0.00041860708492491236
1,116,131,5.2325885615614045e-05
4,116,118,0.00020930354246245618
6,116,84,0.00031395531369368424
1328,116,195,0.06948877609753545
835,116,18,0.043692114489037724
2,116,119,0.00010465177123122809
0,116,168,0.0
0,116,21,0.0
12316,116,166,0.6444456072419026
102,116,12,0.005337240332792633
27,116,129,0.0014127989116215793
496,116,147,0.025953639265344566
1015,116,85,0.05311077389984825
1080,116,191,0.05651195646486317
121,116,170,0.006331432159489299
150,116,86,0.007848882842342107
5,116,36,0.0002616294280780702
123,116,142,0.006436083930720527
14,116,152,0.0007325623986185967
12,116,77,0.0006279106273873685
39534,166,189,0.17198491314618325
33119,166,191,0.14407771382831092
11,166,107,4.785334255597753e-05
2084,166,108,0.009066033262423381
9826,166,86,0.042746085814094115
186,166,95,0.0008091565195828929
28860,166,85,0.12554976965141015
385,166,73,0.0016748669894592137
2813,166,195,0.012237404782724073
720,166,137,0.003132218785482166
645,166,158,0.0028059459953277736
233,166,138,0.0010136208014129787
804,166,110,0.003497644310455085
855,166,119,0.003719509807760072
1912,166,77,0.00831778099700264
1581,166,186,0.006877830416454589
1919,166,109,0.008348233124083717
971,166,182,0.0042241450565321985
2,166,179,8.70060773745046e-06
2875,166,129,0.012507123622585038
3474,166,71,0.01511295563995145
250,166,66,0.0010875759671813076
13,166,78,5.6553950293428e-05
3,166,166,1.305091160617569e-05
3,166,143,1.305091160617569e-05
9,166,14,3.915273481852707e-05
7600,166,12,0.03306230940231175
26706,166,147,0.116179215118176
12160,166,116,0.052899695043698805
9863,166,170,0.04290704705723695
19349,166,142,0.08417402955596448
9742,166,130,0.04238066028912119
2654,166,74,0.011545706467596761
1704,166,36,0.007412917792307793
1984,166,152,0.008631002875550858
0,166,80,0.0
0,166,192,0.0
1,166,105,4.35030386872523e-06
0,166,79,0.0
0,166,24,0.0
0,166,157,0.0
374,166,0,0.0016270136469032361
0,166,2,0.0
0,166,135,0.0
0,166,139,0.0
0,166,198,0.0
1,166,82,4.35030386872523e-06
320,166,31,0.0013920972379920737
1094,166,76,0.004759232432385402
264,166,47,0.0011484802213434608
1120,166,18,0.0048723403329722585
375,166,67,0.0016313639507719614
359,166,61,0.0015617590888723576
208,166,89,0.000904863204694848
371,166,133,0.0016139627352970605
273,166,153,0.001187632956161988
260,166,22,0.0011310790058685599
37,85,136,0.0006519019680391846
0,85,107,0.0
645,85,135,0.011364237010412812
