flow,origin,destination,out_ratio
1015,12,147,0.024577461378274976
1202,12,116,0.02910552569131677
20361,12,166,0.4930262966729624
4770,12,85,0.11550196135406073
2163,12,191,0.05237541769577219
28,12,77,0.0006779989345731028
35,12,95,0.0008474986682163785
7585,12,189,0.1836650685263209
37,12,170,0.0008959271635430288
101,12,109,0.002445639013995835
1403,12,86,0.033972589471645116
169,12,142,0.004092207855101942
1,12,138,2.42142476633251e-05
173,12,129,0.004189064845755242
140,12,130,0.003389994672865514
8,12,186,0.0001937139813066008
22,12,108,0.0005327134485931522
3,12,182,7.26427429899753e-05
28,12,74,0.0006779989345731028
1,12,36,2.42142476633251e-05
2,12,137,4.84284953266502e-05
56,12,152,0.0013559978691462056
1974,12,11,0.04779892488740375
5,12,195,0.0001210712383166255
16,12,71,0.0003874279626132016
2148,147,116,0.03017489639671279
830,147,130,0.011659759780852708
825,147,170,0.011589520264100582
257,147,36,0.0036103111610592117
1202,147,12,0.016885579827210787
45039,147,166,0.6327035189997893
4950,147,85,0.0695371215846035
220,147,77,0.003090538737093489
119,147,95,0.001671700498700569
31,147,71,0.00043548500386317345
10193,147,189,0.1431902788508815
202,147,109,0.00283767647678584
787,147,86,0.011055699936784435
8,147,76,0.00011238322680339959
12,147,158,0.0001685748402050994
16,147,138,0.00022476645360679917
217,147,129,0.003048395027042214
70,147,191,0.0009833532345297465
134,147,119,0.001882419048956943
33,147,186,0.0004635808105640233
109,147,108,0.0015312214651963195
37,147,182,0.0005197724239657231
87,147,74,0.0012221675914869706
39,147,142,0.000547868230666573
36,147,137,0.0005057245206152982
667,147,152,0.009369951534733441
1798,147,37,0.02525813022406406
412,147,41,0.005787736180375079
7,147,195,9.833532345297465e-05
7,147,150,9.833532345297465e-05
8,147,146,0.00011238322680339959
328,147,178,0.004607712298939384
15,147,148,0.00021071855025637425
7,147,145,9.833532345297465e-05
308,147,179,0.004326754231930885
27,147,47,0.00037929339046147365
34661,116,166,0.6022762814943527
2078,116,147,0.036107732406602956
3233,116,195,0.056177237185056475
1302,116,12,0.02262380538662033
2554,116,85,0.04437880104257168
2546,116,191,0.04423979148566464
1326,116,77,0.023040834057341444
130,116,95,0.002258905299739357
85,116,71,0.001476976542137272
1611,116,189,0.02799304952215465
348,116,170,0.006046915725456125
240,116,109,0.004170286707211121
674,116,86,0.011711555169417898
24,116,76,0.00041702867072111207
858,116,142,0.014908774978279757
10,116,158,0.0001737619461337967
351,116,152,0.0060990443092962645
31,116,138,0.0005386620330147698
189,116,129,0.0032841007819287577
3044,116,130,0.05289313640312771
48,116,119,0.0008340573414422241
36,116,186,0.0006255430060816682
122,116,108,0.0021198957428323196
32,116,182,0.0005560382276281494
177,116,74,0.0030755864465682016
56,116,36,0.0009730668983492615
36,116,137,0.0006255430060816682
1110,116,18,0.019287576020851432
21,116,47,0.00036490008688097304
1,116,180,1.737619461337967e-05
10,116,123,0.0001737619461337967
3,116,51,5.212858384013901e-05
7,116,131,0.00012163336229365769
32,116,24,0.0005560382276281494
10,116,118,0.0001737619461337967
7,116,25,0.00012163336229365769
336,116,120,0.005838401390095569
5,116,121,8.688097306689835e-05
8,116,110,0.00013900955690703736
92,116,132,0.0015986099044309296
104,116,55,0.0018071242397914857
2,116,165,3.475238922675934e-05
81688,166,85,0.1488662995185281
117629,166,189,0.2143643368189323
19146,166,12,0.034891222340879186
2,166,201,3.644753195537364e-06
44330,166,147,0.08078595457908568
34380,166,116,0.06265330743128729
62143,166,191,0.11324794891513922
18780,166,130,0.03422423250609585
3623,166,195,0.006602470413715935
13380,166,77,0.024383398878144967
3846,166,95,0.007008860395018351
4055,166,71,0.007389737103952006
13651,166,170,0.02487726293614028
6655,166,108,0.01212791625815058
9484,166,109,0.01728341965323818
24858,166,86,0.0453006374673339
1551,166,76,0.002826506103139226
26525,166,142,0.04833853925581429
2747,166,158,0.00500606851407057
10951,166,152,0.019956846122164838
2231,166,138,0.00406572218962193
6822,166,129,0.01243225314997795
7648,166,119,0.01393753621973488
2671,166,186,0.00486756789264015
2592,166,182,0.004723600141416424
5821,166,74,0.010608054175611498
2650,166,36,0.004829297984087008
919,166,137,0.001674764093349419
522,166,67,0.000951280584035252
1051,166,61,0.0019153178042548848
3774,166,18,0.0068776492799790066
427,166,89,0.0007781548072472273
874,166,110,0.0015927571464498282
271,166,133,0.0004938640579953129
1095,166,37,0.001995502374556707
250,166,0,0.00045559414944217053
