flow,origin,destination,out_ratio,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
86719,211,166,0.5128813238546978,,300,,0,,130,,5888,,6318
7209,212,85,0.1569869994120337,,2510,,0,,35,,83916,,86461
7979,211,147,0.047190120769804,,1720,,0,,462,,30831,,33013
32700,211,189,0.19339728652369856,,75,,0,,94,,66,,235
654,147,212,0.043666955999198766,1720,,0,,462,,30831,66,33013,235
8,147,276,0.0005341523669626762,1720,,0,,462,,30831,66,33013,235
1,147,232,6.676904587033452e-05,1720,,0,,462,,30831,66,33013,235
121,147,206,0.008079054550310476,1720,,0,,462,,30831,66,33013,235
7255,147,211,0.4844094277892769,1720,,0,,462,,30831,66,33013,235
4,147,241,0.0002670761834813381,1720,,0,,462,,30831,66,33013,235
134,147,236,0.008947052146624824,1720,,0,,462,,30831,66,33013,235
55,147,249,0.0036722975228683976,1720,,0,,462,,30831,66,33013,235
24,147,253,0.0016024571008880282,1720,,0,,462,,30831,66,33013,235
6363,212,189,0.1385640556608088,,75,,0,,94,,66,,235
276,215,166,0.7931034482758621,,300,,0,,130,,5888,,6318
25,215,189,0.07183908045977011,,75,,0,,94,,66,,235
82443,166,211,0.24685011078507696,300,,0,,130,,5888,66,6318,235
1855,166,207,0.005554224803880472,300,,0,,130,,5888,66,6318,235
23917,166,212,0.07161207257919636,300,,0,,130,,5888,66,6318,235
272,166,215,0.0008144200251512067,300,,0,,130,,5888,66,6318,235
4742,166,206,0.014198454997305229,300,,0,,130,,5888,66,6318,235
105,166,219,0.00031439008323851727,300,,0,,130,,5888,66,6318,235
4719,166,220,0.014129588598119646,300,,0,,130,,5888,66,6318,235
11659,166,217,0.03490927600455117,300,,0,,130,,5888,66,6318,235
32215,166,221,0.09645787172884604,300,,0,,130,,5888,66,6318,235
101,166,214,0.0003024133181627642,300,,0,,130,,5888,66,6318,235
406,166,259,0.0012156416551889336,300,,0,,130,,5888,66,6318,235
5062,166,224,0.015156596203365472,300,,0,,130,,5888,66,6318,235
1,166,225,2.99419126893826e-06,300,,0,,130,,5888,66,6318,235
7,166,226,2.0959338882567817e-05,300,,0,,130,,5888,66,6318,235
25103,166,228,0.07516318342415712,300,,0,,130,,5888,66,6318,235
245,166,229,0.0007335768608898736,300,,0,,130,,5888,66,6318,235
111,166,230,0.00033235523085214686,300,,0,,130,,5888,66,6318,235
29,166,232,8.683154679920953e-05,300,,0,,130,,5888,66,6318,235
20204,166,233,0.0604946403976286,300,,0,,130,,5888,66,6318,235
498,166,234,0.0014911072519312536,300,,0,,130,,5888,66,6318,235
607,166,237,0.0018174741002455238,300,,0,,130,,5888,66,6318,235
13,166,241,3.8924486496197374e-05,300,,0,,130,,5888,66,6318,235
2802,166,223,0.008389723935565004,300,,0,,130,,5888,66,6318,235
381,166,242,0.001140786873465477,300,,0,,130,,5888,66,6318,235
4,166,243,1.197676507575304e-05,300,,0,,130,,5888,66,6318,235
823,166,246,0.002464219414336188,300,,0,,130,,5888,66,6318,235
26,166,244,7.784897299239475e-05,300,,0,,130,,5888,66,6318,235
38941,166,265,0.11659680220372474,300,,0,,130,,5888,66,6318,235
15539,166,247,0.04652673812803162,300,,0,,130,,5888,66,6318,235
5006,166,236,0.014988921492304928,300,,0,,130,,5888,66,6318,235
6106,166,248,0.018282531888137013,300,,0,,130,,5888,66,6318,235
1812,166,249,0.005425474579316128,300,,0,,130,,5888,66,6318,235
788,166,239,0.0023594227199233487,300,,0,,130,,5888,66,6318,235
862,166,257,0.00258099287382478,300,,0,,130,,5888,66,6318,235
10943,166,218,0.032765435055991374,300,,0,,130,,5888,66,6318,235
2279,166,235,0.006823761901910294,300,,0,,130,,5888,66,6318,235
5039,166,253,0.01508772980417989,300,,0,,130,,5888,66,6318,235
762,166,254,0.002281573746930954,300,,0,,130,,5888,66,6318,235
20,216,85,0.02717391304347826,,2510,,0,,35,,83916,,86461
6023,220,166,0.9683279742765272,,300,,0,,130,,5888,,6318
73,220,189,0.011736334405144695,,75,,0,,94,,66,,235
8242,85,212,0.16772828099879933,2510,,0,,35,,83916,66,86461,235
20,85,215,0.0004070086896355237,2510,,0,,35,,83916,66,86461,235
15991,85,211,0.325423797798083,2510,,0,,35,,83916,66,86461,235
152,85,220,0.0030932660412299803,2510,,0,,35,,83916,66,86461,235
121,85,224,0.0024624025722949183,2510,,0,,35,,83916,66,86461,235
1,85,225,2.0350434481776183e-05,2510,,0,,35,,83916,66,86461,235
10,85,229,0.00020350434481776185,2510,,0,,35,,83916,66,86461,235
1,85,232,2.0350434481776183e-05,2510,,0,,35,,83916,66,86461,235
454,85,206,0.009239097254726391,2510,,0,,35,,83916,66,86461,235
1870,85,233,0.03805531248092147,2510,,0,,35,,83916,66,86461,235
2620,85,221,0.053318138342253615,2510,,0,,35,,83916,66,86461,235
80,85,240,0.0016280347585420948,2510,,0,,35,,83916,66,86461,235
426,85,223,0.008669285089236655,2510,,0,,35,,83916,66,86461,235
2,85,241,4.0700868963552366e-05,2510,,0,,35,,83916,66,86461,235
0,85,242,0.0,2510,,0,,35,,83916,66,86461,235
0,85,245,0.0,2510,,0,,35,,83916,66,86461,235
15,85,246,0.0003052565172266428,2510,,0,,35,,83916,66,86461,235
205,85,249,0.004171839068764118,2510,,0,,35,,83916,66,86461,235
1,85,250,2.0350434481776183e-05,2510,,0,,35,,83916,66,86461,235
13,85,251,0.00026455564826309043,2510,,0,,35,,83916,66,86461,235
200,85,253,0.004070086896355237,2510,,0,,35,,83916,66,86461,235
13086,217,166,0.6647363608655897,,300,,0,,130,,5888,,6318
461,221,147,0.009844537456222774,,1720,,0,,462,,30831,,33013
36294,221,166,0.775049115913556,,300,,0,,130,,5888,,6318
2570,221,85,0.05488169471256514,,2510,,0,,35,,83916,,86461
4759,221,189,0.10162723157085504,,75,,0,,94,,66,,235
23,276,166,1.0,,300,,0,,130,,5888,,6318
268,223,189,0.07019381875327396,,75,,0,,94,,66,,235
5853,224,166,0.9677579365079364,,300,,0,,130,,5888,,6318
104,224,189,0.0171957671957672,,75,,0,,94,,66,,235
6,225,166,0.4615384615384616,,300,,0,,130,,5888,,6318
1,225,85,0.07692307692307693,,2510,,0,,35,,83916,,86461
6,225,189,0.4615384615384616,,75,,0,,94,,66,,235
175,229,166,0.9887005649717514,,300,,0,,130,,5888,,6318
109,230,166,0.9646017699115044,,300,,0,,130,,5888,,6318
2,232,147,0.037037037037037035,,1720,,0,,462,,30831,,33013
20,232,166,0.3703703703703704,,300,,0,,130,,5888,,6318
14,232,189,0.25925925925925924,,75,,0,,94,,66,,235
6942,206,166,0.7563739376770539,,300,,0,,130,,5888,,6318
722,206,85,0.07866637611680105,,2510,,0,,35,,83916,,86461
