flow,origin,destination,out_ratio,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
21838,166,233,0.0663341554985845,240,,0,,95,,4653,54,4988,196
19976,233,166,0.7643975050702178,,240,,0,,95,,4653,,4988
80295,211,166,0.5355034913267042,,240,,0,,95,,4653,,4988
11068,208,166,0.7954578122754058,,240,,0,,95,,4653,,4988
6425,211,147,0.042849616187484584,,1360,,0,,369,,24111,,25840
28211,211,189,0.1881448283681132,,60,,0,,63,,42,,165
814,147,212,0.05516026292606899,1360,,0,,369,,24111,42,25840,165
4,147,220,0.0002710578030765061,1360,,0,,369,,24111,42,25840,165
2,147,276,0.00013552890153825306,1360,,0,,369,,24111,42,25840,165
2,147,232,0.00013552890153825306,1360,,0,,369,,24111,42,25840,165
284,147,206,0.01924510401843193,1360,,0,,369,,24111,42,25840,165
437,147,221,0.029613064986108287,1360,,0,,369,,24111,42,25840,165
6591,147,211,0.4466354950193129,1360,,0,,369,,24111,42,25840,165
1,147,241,6.776445076912653e-05,1360,,0,,369,,24111,42,25840,165
4,147,244,0.0002710578030765061,1360,,0,,369,,24111,42,25840,165
163,147,247,0.011045605475367622,1360,,0,,369,,24111,42,25840,165
135,147,236,0.00914820085383208,1360,,0,,369,,24111,42,25840,165
37,147,249,0.002507284678457681,1360,,0,,369,,24111,42,25840,165
17,147,228,0.0011519956630751508,1360,,0,,369,,24111,42,25840,165
13,147,253,0.0008809378599986447,1360,,0,,369,,24111,42,25840,165
21222,212,166,0.5625298202830938,,240,,0,,95,,4653,,4988
5620,212,189,0.14896888087790913,,60,,0,,63,,42,,165
308,215,166,0.8041775456919059,,240,,0,,95,,4653,,4988
18,215,85,0.046997389033942565,,1465,,0,,28,,59905,,61398
36,215,189,0.09399477806788513,,60,,0,,63,,42,,165
7013,212,85,0.1858930180777183,,1465,,0,,28,,59905,,61398
81070,166,211,0.2462546930245556,240,,0,,95,,4653,59905,4988,61398
1774,166,207,0.005388624958992989,240,,0,,95,,4653,59905,4988,61398
23065,166,212,0.07006123713594888,240,,0,,95,,4653,59905,4988,61398
251,166,215,0.0007624266430142279,240,,0,,95,,4653,59905,4988,61398
5052,166,206,0.015345734663378003,240,,0,,95,,4653,59905,4988,61398
272,166,216,0.0008262153262943027,240,,0,,95,,4653,59905,4988,61398
82,166,219,0.00024907962042695886,240,,0,,95,,4653,59905,4988,61398
5141,166,220,0.015616077178231656,240,,0,,95,,4653,59905,4988,61398
33664,166,221,0.10225629685430664,240,,0,,95,,4653,59905,4988,61398
127,166,214,0.00038576965602711935,240,,0,,95,,4653,59905,4988,61398
228,166,259,0.0006925628470408126,240,,0,,95,,4653,59905,4988,61398
3915,166,224,0.011892033097213955,240,,0,,95,,4653,59905,4988,61398
1,166,225,3.0375563466702307e-06,240,,0,,95,,4653,59905,4988,61398
12,166,226,3.645067616004277e-05,240,,0,,95,,4653,59905,4988,61398
12153,166,217,0.03691542228108331,240,,0,,95,,4653,59905,4988,61398
24859,166,228,0.07551061322187527,240,,0,,95,,4653,59905,4988,61398
342,166,229,0.001038844270561219,240,,0,,95,,4653,59905,4988,61398
115,166,230,0.0003493189798670765,240,,0,,95,,4653,59905,4988,61398
27,166,232,8.201402136009623e-05,240,,0,,95,,4653,59905,4988,61398
383,166,234,0.0011633840807746985,240,,0,,95,,4653,59905,4988,61398
673,166,237,0.002044275421309065,240,,0,,95,,4653,59905,4988,61398
715,166,239,0.002171852787869215,240,,0,,95,,4653,59905,4988,61398
2930,166,223,0.008900040095743775,240,,0,,95,,4653,59905,4988,61398
24,166,241,7.290135232008554e-05,240,,0,,95,,4653,59905,4988,61398
508,166,242,0.0015430786241084774,240,,0,,95,,4653,59905,4988,61398
10,166,243,3.0375563466702306e-05,240,,0,,95,,4653,59905,4988,61398
798,166,246,0.002423969964642844,240,,0,,95,,4653,59905,4988,61398
31,166,244,9.416424674677716e-05,240,,0,,95,,4653,59905,4988,61398
37496,166,265,0.11389621277474694,240,,0,,95,,4653,59905,4988,61398
885,166,257,0.0026882373668031547,240,,0,,95,,4653,59905,4988,61398
15374,166,247,0.046699391273708125,240,,0,,95,,4653,59905,4988,61398
5234,166,236,0.015898569918471987,240,,0,,95,,4653,59905,4988,61398
4805,166,248,0.014595458245750459,240,,0,,95,,4653,59905,4988,61398
1494,166,249,0.004538109181925325,240,,0,,95,,4653,59905,4988,61398
10462,166,218,0.031778914498863955,240,,0,,95,,4653,59905,4988,61398
4733,166,253,0.014376754188790202,240,,0,,95,,4653,59905,4988,61398
659,166,254,0.002001749632455682,240,,0,,95,,4653,59905,4988,61398
