flow,origin,destination,out_ratio,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
22550,166,233,0.06536118212436885,240,,0,,112,,4723,66,5075,235
39114,166,265,0.1133719413575416,240,,0,,112,,4723,66,5075,235
21550,233,166,0.7444640204511693,,240,,0,,112,,4723,,5075
35435,265,166,0.4126538645177068,,240,,0,,112,,4723,,5075
75248,211,166,0.5307415061468905,,240,,0,,112,,4723,,5075
525,207,85,0.2061248527679623,,2008,,0,,28,,70461,,72497
6203,211,147,0.04375119023268608,,1376,,0,,372,,25014,,26762
24478,211,189,0.17264898186614375,,60,,0,,84,,60,,204
14215,211,85,0.1002616748601697,,2008,,0,,28,,70461,,72497
6685,147,211,0.4556608274827892,1376,,0,,372,,25014,70461,26762,72497
2,147,276,0.0001363233590075659,1376,,0,,372,,25014,70461,26762,72497
202,147,217,0.013768659259764159,1376,,0,,372,,25014,70461,26762,72497
3,147,232,0.0002044850385113489,1376,,0,,372,,25014,70461,26762,72497
108,147,206,0.007361461386408561,1376,,0,,372,,25014,70461,26762,72497
568,147,212,0.03871583395814873,1376,,0,,372,,25014,70461,26762,72497
1,147,241,6.816167950378297e-05,1376,,0,,372,,25014,70461,26762,72497
90,147,236,0.006134551155340467,1376,,0,,372,,25014,70461,26762,72497
34,147,249,0.002317497103128621,1376,,0,,372,,25014,70461,26762,72497
19,147,253,0.0012950719105718766,1376,,0,,372,,25014,70461,26762,72497
24378,212,166,0.6273127299863617,,240,,0,,112,,4723,,5075
4102,212,189,0.10555569851522092,,60,,0,,84,,60,,204
264,215,166,0.8073394495412844,,240,,0,,112,,4723,,5075
21,215,85,0.06422018348623854,,2008,,0,,28,,70461,,72497
20,215,189,0.06116207951070336,,60,,0,,84,,60,,204
79387,166,211,0.2301032445812537,240,,0,,112,,4723,60,5075,204
2732,166,207,0.007918702863138612,240,,0,,112,,4723,60,5075,204
23086,166,212,0.06691477829371083,240,,0,,112,,4723,60,5075,204
255,166,215,0.0007391175805638162,240,,0,,112,,4723,60,5075,204
5631,166,206,0.016321455279038624,240,,0,,112,,4723,60,5075,204
76,166,219,0.00022028602401117666,240,,0,,112,,4723,60,5075,204
6604,166,220,0.019141696086444872,240,,0,,112,,4723,60,5075,204
31404,166,221,0.09102450392167093,240,,0,,112,,4723,60,5075,204
109,166,214,0.00031593653443708227,240,,0,,112,,4723,60,5075,204
271,166,259,0.0007854935856188008,240,,0,,112,,4723,60,5075,204
5044,166,224,0.014620035593583882,240,,0,,112,,4723,60,5075,204
1,166,225,2.8985003159365345e-06,240,,0,,112,,4723,60,5075,204
7,166,226,2.028950221155574e-05,240,,0,,112,,4723,60,5075,204
11846,166,217,0.03433563474258418,240,,0,,112,,4723,60,5075,204
31854,166,228,0.09232882906384236,240,,0,,112,,4723,60,5075,204
210,166,229,0.0006086850663466723,240,,0,,112,,4723,60,5075,204
131,166,230,0.000379703541387686,240,,0,,112,,4723,60,5075,204
33,166,232,9.565051042590564e-05,240,,0,,112,,4723,60,5075,204
357,166,234,0.0010347646127893428,240,,0,,112,,4723,60,5075,204
387,166,237,0.0011217196222674387,240,,0,,112,,4723,60,5075,204
3660,166,223,0.010608511156327716,240,,0,,112,,4723,60,5075,204
10,166,241,2.8985003159365345e-05,240,,0,,112,,4723,60,5075,204
402,166,242,0.001165197127006487,240,,0,,112,,4723,60,5075,204
6,166,243,1.7391001895619207e-05,240,,0,,112,,4723,60,5075,204
885,166,246,0.002565172779603833,240,,0,,112,,4723,60,5075,204
27,166,244,7.825950853028643e-05,240,,0,,112,,4723,60,5075,204
16412,166,247,0.0475701871851504,240,,0,,112,,4723,60,5075,204
4887,166,236,0.014164971043981844,240,,0,,112,,4723,60,5075,204
5704,166,248,0.016533045802101992,240,,0,,112,,4723,60,5075,204
1432,166,249,0.004150652452421117,240,,0,,112,,4723,60,5075,204
951,166,239,0.002756473800455644,240,,0,,112,,4723,60,5075,204
