flow,origin,destination,out_ratio,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
21181,166,233,0.07017340427646618,277,,0,,173,,5660,32528,6110,33058
886,166,237,0.0029353494258509533,277,,0,,173,,5660,32528,6110,33058
31624,166,265,0.104771433682969,277,,0,,173,,5660,32528,6110,33058
5206,166,248,0.017247662653476367,277,,0,,173,,5660,32528,6110,33058
21345,233,166,0.7923750835251318,,277,,0,,173,,5660,,6110
95,189,248,0.0014955213072430458,72,,0,,70,,54,5660,196,6110
341,237,166,0.8721227621483376,,277,,0,,173,,5660,,6110
27753,265,166,0.3993812059289106,,277,,0,,173,,5660,,6110
1019,257,166,0.8113057324840764,,277,,0,,173,,5660,,6110
5230,236,166,0.7959214731395525,,277,,0,,173,,5660,,6110
5208,248,166,0.9351768719698331,,277,,0,,173,,5660,,6110
72243,211,166,0.5652374618574446,,277,,0,,173,,5660,,6110
10137,208,166,0.8012171988618401,,277,,0,,173,,5660,,6110
5317,211,147,0.04160081370784759,,1325,,0,,524,,30074,,31923
22185,211,189,0.1735779672952038,,72,,0,,70,,54,,196
613,147,212,0.0523350123794075,1325,,0,,524,,30074,54,31923,196
1,147,220,8.537522410996328e-05,1325,,0,,524,,30074,54,31923,196
2,147,276,0.00017075044821992656,1325,,0,,524,,30074,54,31923,196
1,147,225,8.537522410996328e-05,1325,,0,,524,,30074,54,31923,196
88,147,206,0.0075130197216767705,1325,,0,,524,,30074,54,31923,196
323,147,221,0.027576197387518143,1325,,0,,524,,30074,54,31923,196
5291,147,211,0.4517203107658158,1325,,0,,524,,30074,54,31923,196
2,147,241,0.00017075044821992656,1325,,0,,524,,30074,54,31923,196
21,147,249,0.0017928797063092288,1325,,0,,524,,30074,54,31923,196
37,147,253,0.0031588832920686413,1325,,0,,524,,30074,54,31923,196
15751,212,166,0.5784004112808461,,277,,0,,173,,5660,,6110
3771,212,189,0.13847679200940072,,72,,0,,70,,54,,196
255,215,166,0.7870370370370371,,277,,0,,173,,5660,,6110
24,215,85,0.07407407407407407,,1363,,0,,67,,59535,,60965
30,215,189,0.0925925925925926,,72,,0,,70,,54,,196
76294,166,211,0.25276472809917905,277,,0,,173,,5660,54,6110,196
1880,166,207,0.006228506682392543,277,,0,,173,,5660,54,6110,196
20159,166,212,0.06678748202678259,277,,0,,173,,5660,54,6110,196
268,166,215,0.000887893505787873,277,,0,,173,,5660,54,6110,196
3641,166,206,0.012062762143931514,277,,0,,173,,5660,54,6110,196
62,166,219,0.0002054081991001796,277,,0,,173,,5660,54,6110,196
4101,166,220,0.013586758459836071,277,,0,,173,,5660,54,6110,196
28752,166,221,0.0952563958149736,277,,0,,173,,5660,54,6110,196
284,166,259,0.0009409020732975967,277,,0,,173,,5660,54,6110,196
4751,166,224,0.015740231514918598,277,,0,,173,,5660,54,6110,196
1,166,225,3.313035469357735e-06,277,,0,,173,,5660,54,6110,196
10877,166,217,0.03603588680020408,277,,0,,173,,5660,54,6110,196
22756,166,228,0.07539143514070462,277,,0,,173,,5660,54,6110,196
272,166,229,0.0009011456476653039,277,,0,,173,,5660,54,6110,196
164,166,230,0.0005433378169746684,277,,0,,173,,5660,54,6110,196
31,166,232,0.00010270409955008978,277,,0,,173,,5660,54,6110,196
288,166,234,0.0009541542151750276,277,,0,,173,,5660,54,6110,196
1966,166,223,0.006513427732757307,277,,0,,173,,5660,54,6110,196
13,166,241,4.306946110165055e-05,277,,0,,173,,5660,54,6110,196
367,166,242,0.0012158840172542887,277,,0,,173,,5660,54,6110,196
4,166,243,1.325214187743094e-05,277,,0,,173,,5660,54,6110,196
889,166,246,0.0029452885322590267,277,,0,,173,,5660,54,6110,196
11,166,244,3.644339016293509e-05,277,,0,,173,,5660,54,6110,196
15061,166,247,0.04989762720399685,277,,0,,173,,5660,54,6110,196
4535,166,236,0.015024615853537327,277,,0,,173,,5660,54,6110,196
1199,166,249,0.003972329527759925,277,,0,,173,,5660,54,6110,196
1600,166,235,0.005300856750972376,277,,0,,173,,5660,54,6110,196
3725,166,253,0.012341057123357565,277,,0,,173,,5660,54,6110,196
473,166,254,0.0015670657770062086,277,,0,,173,,5660,54,6110,196
11786,217,166,0.6545232409618482,,277,,0,,173,,5660,,6110
1226,217,189,0.06808463375354029,,72,,0,,70,,54,,196
74,219,166,0.8705882352941177,,277,,0,,173,,5660,,6110
